measured_on,ac_current__319,ac_current__3979,ac_current_a__3978,ac_power__315,ac_va__3982,ac_vars__3981,ac_volage_c-a__3977,ac_voltage__318,ac_voltage_a-n__3975,ac_voltage_c_n__3976,ac_w__3980,ambient_temp__320,ambient_temp__3969,das_batt_vdc__3986,das_battery_voltage__326,das_temp__325,dc_current__3973,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dc_power__3971,dc_voltage__3972,frequency__3984,inverter_temp__324,mod_temperature__3974,module_temp_1__321,module_temp_2__322,module_temp_3__323,neutral_current__3985,panel_temperatuer__3987,poa_irradiance__313,poa_irradiance__3970,power_factor__327,power_factor__3983,system_id
2012-08-01 00:00:00,0.1890999999999999,,,2.8584,,,,121.9794,,,,22.2276,,,13.2459,23.2542,,0.0223,1.6852,0.0381999999999999,,,,22.5413,,21.2822,21.3306,21.4941,,,-2.4338,,0.1351,,4
2012-08-01 00:01:00,0.1893,,,3.0518,,,,121.9964,,,,22.2813,,,13.2482,23.2213,,0.0224999999999999,1.577,0.0342999999999999,,,,22.5283,,21.2754,21.3334,21.4838,,,-2.2557,,0.1332,,4
2012-08-01 00:02:00,0.1893,,,3.1163,,,,121.9825,,,,22.251,,,13.2487,23.2091,,0.0257,1.5599,0.041,,,,22.5277,,21.279,21.3459,21.4805,,,-2.3151,,0.1332,,4
2012-08-01 00:03:00,0.1895,,,3.1163,,,,122.0747,,,,22.1525,,,13.2505,23.1752,,0.0168999999999999,1.4176,0.0221,,,,22.4958,,21.2885,21.3506,21.4962,,,-2.2557,,0.1327,,4
2012-08-01 00:04:00,0.1897,,,3.2666,,,,122.0587,,,,22.3989,,,13.2501,23.1526,,0.0224999999999999,1.5143,0.0359999999999999,,,,22.5028,,21.3658,21.4086,21.5977,,,-2.137,,0.133,,4
2012-08-01 00:05:00,0.189,,,3.3311,,,,122.0788,,,,22.4984,,,13.2506,23.1281,,0.0218999999999999,1.5997,0.0354999999999999,,,,22.5045,,21.4262,21.4614,21.6656,,,-2.0776,,0.1336,,4
2012-08-01 00:06:00,0.1893,,,2.9873,,,,121.9855,,,,22.6777,,,13.2515,23.0961,,0.0239,1.5314,0.0371999999999999,,,,22.5206,,21.4823,21.5451,21.7238,,,-1.8995,,0.1338,,4
2012-08-01 00:07:00,0.1885999999999999,,,2.8798,,,,121.9586,,,,22.6708,,,13.2515,23.0912,,0.0223,1.5542,0.0345,,,,22.5557,,21.5465,21.5851,21.7569,,,-1.8401,,0.1333,,4
2012-08-01 00:08:00,0.1890999999999999,,,3.1378,,,,121.9697,,,,22.4226,,,13.2511,23.0599,,0.0276,1.7535,0.0475,,,,22.5361,,21.5041,21.5228,21.6815,,,-1.6621,,0.1328,,4
2012-08-01 00:09:00,0.1890999999999999,,,3.1164,,,,122.0728,,,,22.6427,,,13.2525,23.0396,,0.0244,1.6397,0.0407,,,,22.5461,,21.5665,21.6383,21.7921,,,-1.8401,,0.1332,,4
2012-08-01 00:10:00,0.1890999999999999,,,3.009,,,,122.1203,,,,22.8562,,,13.2516,23.0176,,0.0239,1.5429,0.0350999999999999,,,,22.5674,,21.6238,21.6707,21.8342,,,-1.6027,,0.1338,,4
2012-08-01 00:11:00,0.1890999999999999,,,3.0735,,,,122.1669,,,,22.8369,,,13.2534,22.9956,,0.0264,1.5657,0.0412,,,,22.5715,,21.6169,21.659,21.8155,,,-1.6027,,0.1338,,4
2012-08-01 00:12:00,0.1890999999999999,,,3.181,,,,122.1899,,,,22.7488,,,13.2535,22.9809,,0.0239,1.7308,0.0398,,,,22.5747,,21.607,21.6318,21.7898,,,-1.484,,0.1328999999999999,,4
2012-08-01 00:13:00,0.1885999999999999,,,3.224,,,,122.2476,,,,22.6814,,,13.2526,22.9786,,0.0259999999999999,1.5202,0.0393999999999999,,,,22.5752,,21.5999,21.6392,21.7813,,,-1.484,,0.1338,,4
2012-08-01 00:14:00,0.1893,,,3.1595,,,,122.1899,,,,22.6955,,,13.2526,22.956,,0.0246,1.6967,0.0398,,,,22.5698,,21.6152,21.6869,21.8207,,,-1.4246,,0.1338999999999999,,4
2012-08-01 00:15:00,0.1888,,,3.181,,,,122.16,,,,22.787,,,13.253,22.9415,,0.0257,1.6568,0.0417,,,,22.578,,21.6372,21.6737,21.8186,,,-1.484,,0.1335,,4
2012-08-01 00:16:00,0.1888,,,2.9876,,,,122.1397,,,,22.7352,,,13.2535,22.9244,,0.0253,1.5714,0.0395,,,,22.5691,,21.6193,21.6407,21.8076,,,-1.4246,,0.1328999999999999,,4
2012-08-01 00:17:00,0.1895,,,3.2455,,,,122.1201,,,,22.6888,,,13.2535,22.9244,,0.0253,1.543,0.04,,,,22.5788,,21.6372,21.6634,21.8311,,,-1.4246,,0.1333,,4
2012-08-01 00:18:00,0.1890999999999999,,,3.009,,,,122.0984,,,,22.6415,,,13.254,22.9041,,0.0216,1.7024,0.0359999999999999,,,,22.5736,,21.6224,21.6479,21.81,,,-1.4247,,0.1337,,4
2012-08-01 00:19:00,0.1893,,,3.1165,,,,122.1267,,,,22.5287,,,13.2531,22.8973,,0.0231999999999999,1.5714,0.0359999999999999,,,,22.5675,,21.6232,21.6397,21.7984,,,-1.4247,,0.1325,,4
2012-08-01 00:20:00,0.1890999999999999,,,3.1164,,,,122.1276,,,,22.4452,,,13.2526,22.8679,,0.0179999999999999,1.691,0.031,,,,22.5408,,21.6027,21.6179,21.7827,,,-1.4247,,0.1328,,4
2012-08-01 00:21:00,0.1884,,,3.009,,,,122.1803,,,,22.4293,,,13.2531,22.8679,,0.0202999999999999,1.7365,0.0354999999999999,,,,22.5429,,21.591,21.6117,21.7731,,,-1.4247,,0.1336,,4
2012-08-01 00:22:00,0.1893,,,3.1165,,,,122.151,,,,22.4404,,,13.254,22.8679,,0.0223,1.6113,0.0378,,,,22.545,,21.5931,21.6365,21.8014,,,-1.6621,,0.1333,,4
2012-08-01 00:23:00,0.1893,,,3.224,,,,122.2156,,,,22.5136,,,13.2545,22.8566,,0.0213999999999999,1.7423,0.041,,,,22.5426,,21.63,21.6976,21.877,,,-1.5434,,0.1328,,4
2012-08-01 00:24:00,0.1893,,,3.0736,,,,122.2507,,,,22.671,,,13.2531,22.8408,,0.0254999999999999,1.6682,0.0441,,,,22.544,,21.6783,21.7018,21.9142,,,-1.484,,0.1331,,4
2012-08-01 00:25:00,0.1890999999999999,,,3.1595,,,,122.2269,,,,22.8026,,,13.2535,22.8408,,0.023,1.8163,0.0400999999999999,,,,22.5736,,21.7625,21.7949,21.9962,,,-1.484,,0.133,,4
2012-08-01 00:26:00,0.1890999999999999,,,3.0305,,,,122.2364,,,,22.7556,,,13.2549,22.8139,,0.0231999999999999,1.5202,0.0354999999999999,,,,22.5604,,21.7493,21.7451,21.9699,,,-1.4246,,0.1338999999999999,,4
2012-08-01 00:27:00,0.1888,,,3.1596,,,,122.2416,,,,22.6673,,,13.2549,22.8114,,0.0228,1.412,0.0307,,,,22.5601,,21.7275,21.7344,21.9303,,,-1.4246,,0.1333999999999999,,4
2012-08-01 00:28:00,0.1893,,,3.1596,,,,122.237,,,,22.6028,,,13.2545,22.8114,,0.0213999999999999,1.6853,0.0354999999999999,,,,22.5608,,21.7006,21.722,21.9089,,,-1.4246,,0.1336,,4
2012-08-01 00:29:00,0.1890999999999999,,,3.267,,,,122.2454,,,,22.5571,,,13.2545,22.8114,,0.0198,1.8789,0.0357,,,,22.5635,,21.6923,21.7427,21.8986,,,-1.3653,,0.1328999999999999,,4
2012-08-01 00:30:00,0.1890999999999999,,,3.267,,,,122.2552,,,,22.5782,,,13.2545,22.7979,,0.0187,1.7252,0.0328,,,,22.5596,,21.6905,21.7539,21.896,,,-1.3653,,0.133,,4
