measured_on,ac_current__251,ac_current__319,ac_power__247,ac_power__315,ac_voltage__250,ac_voltage__318,ambient_temp__252,ambient_temp__320,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__326,das_temp__1368,das_temp__325,dc_pos_current__249,dc_pos_current__317,dc_pos_voltage__248,dc_pos_voltage__316,dc_power__246,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,inverter_temp__256,inverter_temp__324,module_temp_1__253,module_temp_1__321,module_temp_2__254,module_temp_2__322,module_temp_3__255,module_temp_3__323,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__313,power_factor__327,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2012-10-23 00:00:00,,0.1869,,3.2061,,122.5718,,9.5248,,,,13.5797,,8.1263,,0.0045999999999999,,1.5162,,0.0074999999999999,,,,,,8.427099999999998,,6.8286,,6.5041,,6.985,,,,,,-2.7933,0.1254,,,,4
2012-10-23 00:01:00,,0.1872999999999999,,3.2061,,122.3683,,9.7135,,,,13.5797,,8.1263,,0.0103,,1.3053,,0.0121,,,,,,8.464,,6.8769,,6.6101,,7.0355,,,,,,-2.8528,0.1262,,,,4
2012-10-23 00:02:00,,0.1869,,3.0985,,122.3119,,10.1405,,,,13.5806,,8.1263,,0.0033999999999999,,1.6017,,0.0033999999999999,,,,,,8.5874,,7.1983,,7.0042,,7.443399999999999,,,,,,-2.9716,0.1252999999999999,,,,4
2012-10-23 00:03:00,,0.1869,,3.2061,,122.3495,,10.6219,,,,13.5792,,8.1263,,0.0045999999999999,,1.5561,,0.0064,,,,,,8.7079,,7.5265,,7.3489,,7.8766,,,,,,-2.7933,0.1262,,,,4
2012-10-23 00:04:00,,0.186,,3.12,,122.3444,,10.9827,,,,13.5792,,8.1348,,0.0047999999999999,,1.5219,,0.0094,,,,,,8.8467,,7.7623,,7.5776,,8.154,,,,,,-2.6745,0.1260999999999999,,,,4
2012-10-23 00:05:00,,0.1865,,3.163,,122.3735,,11.4778,,,,13.5788,,8.146599999999998,,0.0025,,1.5618,,0.0030999999999999,,,,,,8.9974,,7.965099999999999,,7.7507,,8.3617,,,,,,-2.4962,0.1262,,,,4
2012-10-23 00:06:00,,0.1865,,3.2706,,122.3512,,11.632,,,,13.5788,,8.1655,,0.0092999999999999,,1.2654,,0.0134,,,,,,9.0757,,7.976099999999998,,7.613299999999998,,8.268399999999998,,,,,,-2.199,0.1246,,,,4
2012-10-23 00:07:00,,0.1869,,3.2061,,122.3136,,11.2579,,,,13.5788,,8.1768,,0.0038999999999999,,1.2825,,0.0045999999999999,,,,,,9.0494,,7.871699999999999,,7.4762,,8.1726,,,,,,-1.9613,0.1262,,,,4
2012-10-23 00:08:00,,0.1867,,3.2276,,122.3324,,10.4859,,,,13.5788,,8.1918,,0.0025,,1.5219,,0.0033,,,,,,9.0383,,7.6908,,7.3002,,7.8903,,,,,,-2.0802,0.126,,,,4
2012-10-23 00:09:00,,0.1862,,3.2276,,122.3649,,9.6577,,,,13.5788,,8.2125,,0.0047999999999999,,1.425,,0.0066,,,,,,9.003,,7.4772,,7.1418,,7.6043,,,,,,-2.2585,0.1249,,,,4
