measured_on,ac_current__319,ac_current_a__3647,ac_current_b__3648,ac_current_c__3649,ac_power__315,ac_va__3652,ac_vars__3651,ac_voltage__318,ac_voltage_a-bn__3644,ac_voltage_a-n__3641,ac_voltage_b-c__3645,ac_voltage_b-n__3642,ac_voltage_c-a__3646,ac_voltage_c-n__3643,ac_w_total__3650,ambient_temp__320,ambient_temp__3603,das_battery_voltage__326,das_battery_voltage__3656,das_temp__325,das_temp__3657,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,frequency__3654,inv1_string1_dc_current__3614,inv1_string1_dc_voltage__3627,inv1_string2_dc_current__3615,inv1_string2_dc_voltage__3628,inv2_string1_dc_current__3616,inv2_string1_dc_voltage__3629,inv2_string2_dc_current__3617,inv2_string2_dc_voltage__3630,inv3_string1_dc_current__3618,inv3_string1_dc_voltage__3631,inv3_string2_dc_current__3619,inv3_string2_dc_voltage__3632,inv4_string1_dc_current__3620,inv4_string1_dc_voltage__3633,inv4_string2_dc_current__3621,inv4_string2_dc_voltage__3634,inv5_string1_dc_current__3622,inv5_string1_dc_voltage__3635,inv5_string2_dc_current__3623,inv5_string2_dc_voltage__3636,inv6_string1_dc_current__3624,inv6_string1_dc_voltage__3838,inv6_string2_dc_current__3625,inv6_string2_dc_voltage__3638,inv7_string1_dc_current__3626,inv7_string1_dc_voltage__3639,inv7_string2_dc_current__3837,inv7_string2_dc_voltage__3640,inverter_temp__324,licor1_irradiance__3605,licor2_irradiance__3606,licor3_irradiance__3607,licor4_irradiance__3608,licor5_irradiance__3609,module_temp_10__3668,module_temp_11__3669,module_temp_12__3839,module_temp_13__3670,module_temp_14__3671,module_temp_15__3672,module_temp_16__3841,module_temp_17__3842,module_temp_18__3675,module_temp_19__3676,module_temp_1__321,module_temp_1__3658,module_temp_20__3840,module_temp_2__322,module_temp_2__3659,module_temp_3__323,module_temp_3__3660,module_temp_4__3661,module_temp_5__3662,module_temp_6__3663,module_temp_7__3664,module_temp_9__3667,neutral_current__3655,poa_irradiance__313,poa_irradiance__3604,power_factor__327,power_factor__3653,r1_dci__4012,r1_dcv__4016,r2_dci__4013,r2_dcv__4017,referencemodule1_irradiance__3610,referencemodule1_temp__3611,referencemodule2_irradiance__3612,referencemodule2_temp__3613,v1_dci__4010,v1_dcv__4014,v2_dci__4011,v2_dcv__4015,system_id
2012-12-26 00:00:00,0.1842999999999999,,,,2.5908,,,122.0707,,,,,,,,-13.4726,,14.1628,,-14.2719,,-0.0235,2.9637,-0.0695999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3913,,,,,,,,,,,,,,,,-15.4304,,,-16.0819,,-15.563,,,,,,,,-2.0261,,0.1149,,,,,,,,,,,,,,4
2012-12-26 00:01:00,0.1844,,,,2.6233,,,122.0841,,,,,,,,-13.5656,,14.163,,-14.2719,,-0.0218999999999999,3.2892,-0.0737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3794,,,,,,,,,,,,,,,,-15.3974,,,-16.0248,,-15.5046,,,,,,,,-1.9069,,0.115,,,,,,,,,,,,,,4
2012-12-26 00:02:00,0.1845,,,,2.6145,,,122.0922,,,,,,,,-13.5483,,14.1629,,-14.2719,,-0.0267,3.0893,-0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3615,,,,,,,,,,,,,,,,-15.3645,,,-15.9544,,-15.4237,,,,,,,,-1.9069,,0.1155,,,,,,,,,,,,,,4
2012-12-26 00:03:00,0.1842999999999999,,,,2.6006,,,122.0706,,,,,,,,-13.6166,,14.1629,,-14.2719,,-0.0179999999999999,3.2949,-0.0599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3607,,,,,,,,,,,,,,,,-15.3637,,,-15.9034,,-15.369,,,,,,,,-1.7877,,0.1154,,,,,,,,,,,,,,4
2012-12-26 00:04:00,0.1842999999999999,,,,2.5879,,,122.0835,,,,,,,,-13.5753,,14.1628,,-14.2719,,-0.0214999999999999,3.0951,-0.0691999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.345,,,,,,,,,,,,,,,,-15.3068,,,-15.8283,,-15.2971,,,,,,,,-1.9665,,0.1145999999999999,,,,,,,,,,,,,,4
2012-12-26 00:05:00,0.1845999999999999,,,,2.6316,,,122.1541,,,,,,,,-13.5643,,14.1628,,-14.2698,,-0.0222,3.0951,-0.0661999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3243,,,,,,,,,,,,,,,,-15.2665,,,-15.7985,,-15.274,,,,,,,,-1.6686,,0.1153,,,,,,,,,,,,,,4
2012-12-26 00:06:00,0.1845,,,,2.6324,,,122.1868,,,,,,,,-13.5955,,14.1627,,-14.2553,,-0.0202999999999999,3.1065,-0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.2978,,,,,,,,,,,,,,,,-15.2393,,,-15.7975,,-15.2528,,,,,,,,-2.1453,,0.1158,,,,,,,,,,,,,,4
2012-12-26 00:07:00,0.1845,,,,2.6069,,,122.1829,,,,,,,,-13.6128,,14.1627,,-14.2471,,-0.0167,3.3007,-0.0555999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.2873,,,,,,,,,,,,,,,,-15.2572,,,-15.7756,,-15.2332,,,,,,,,-1.7877,,0.1149,,,,,,,,,,,,,,4
2012-12-26 00:08:00,0.1844,,,,2.6026,,,122.1601,,,,,,,,-13.6218,,14.1618,,-14.2471,,-0.0247,3.0037,-0.0729999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.2888,,,,,,,,,,,,,,,,-15.2856,,,-15.8071,,-15.2924,,,,,,,,-2.0261,,0.1149,,,,,,,,,,,,,,4
2012-12-26 00:09:00,0.1844,,,,2.616,,,122.1187,,,,,,,,-13.6083,,14.1608,,-14.2471,,-0.0202999999999999,2.9465,-0.0628999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.2851,,,,,,,,,,,,,,,,-15.3103,,,-15.8581,,-15.356,,,,,,,,-1.8473,,0.1155999999999999,,,,,,,,,,,,,,4
