measured_on,ac_current__319,ac_meter_1_power_kw__1017,ac_meter_2_power_kw__1018,ac_power__315,ac_power_metered_1_2__1133,ac_power_metered_kw__1016,ac_voltage__318,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__1132,dc_power__314,inv1_ac_power_kw__1019,inv1_dc_current__1021,inv1_dc_power__1130,inv1_dc_voltage__1020,inv1_temp__1022,inv2_ac_power_kw__1023,inv2_dc_current__1025,inv2_dc_power__1131,inv2_dc_voltage__1024,inv2_temp__1026,inverter_temp__324,module_temp_1__321,module_temp_2__322,module_temp_3__323,poa_irradiance__313,power_factor__327,system_id
2012-12-27 00:00:00,0.1841,,,2.6334,,,121.9193,-12.2495,14.0939,-12.1957,-0.0161999999999999,3.0479,,-0.0505,,,,,,,,,,,-12.4736,-14.0404,-14.2225,-13.71,-2.1446,0.1164,4
2012-12-27 00:01:00,0.1841,,,2.6326,,,122.0038,-12.254,14.0943,-12.1957,-0.0135,3.3219,,-0.0425999999999999,,,,,,,,,,,-12.4899,-14.1396,-14.3158,-13.8599,-2.4425,0.1171,4
2012-12-27 00:02:00,0.1844,,,2.6404,,,122.0337,-12.254,14.0943,-12.1957,-0.0178,3.2934,,-0.0579,,,,,,,,,,,-12.5063,-14.2001,-14.4376,-13.9785,-2.4425,0.1160999999999999,4
2012-12-27 00:03:00,0.1844,,,2.6168,,,122.06,-12.2002,14.0953,-12.1957,-0.0167,3.0708,,-0.0526,,,,,,,,,,,-12.5093,-14.2345,-14.466,-14.0502,-2.3233,0.1165,4
2012-12-27 00:04:00,0.1842999999999999,,,2.6352,,,122.0402,-12.2764,14.0953,-12.1957,-0.0179999999999999,3.4247,,-0.062,,,,,,,,,,,-12.5278,-14.3562,-14.6491,-14.2113,-2.1446,0.1163,4
2012-12-27 00:05:00,0.1842,,,2.6334,,,121.9951,-12.1434,14.0962,-12.1957,-0.0158,3.3333,,-0.0517999999999999,,,,,,,,,,,-12.536,-14.3972,-14.7096,-14.3218,-2.4425,0.1168,4
2012-12-27 00:06:00,0.1844,,,2.6333,,,122.0006,-12.0733,14.0976,-12.207,-0.0189,3.2534,,-0.062,,,,,,,,,,,-12.5607,-14.4206,-14.721,-14.3317,-2.3829,0.1166,4
2012-12-27 00:07:00,0.1844,,,2.6303,,,122.0065,-12.2048,14.0971,-12.2183,-0.0184999999999999,3.2135,,-0.0596,,,,,,,,,,,-12.5794,-14.3857,-14.7264,-14.3401,-2.5616,0.1168,4
2012-12-27 00:08:00,0.1842999999999999,,,2.6279,,,122.0461,-12.2332,14.0989,-12.2183,-0.0168999999999999,3.2877,,-0.0577,,,,,,,,,,,-12.5861,-14.3565,-14.7638,-14.3857,-2.7404,0.1159,4
2012-12-27 00:09:00,0.1844,,,2.6048,,,122.0579,-12.2168,14.0989,-12.2183,-0.0202999999999999,3.2192,,-0.0621,,,,,,,,,,,-12.5973,-14.3334,-14.7742,-14.3341,-2.2638,0.1168,4
2012-12-27 00:10:00,0.1842999999999999,,,2.6329,,,122.0157,-12.0485,14.0985,-12.2203,-0.0218999999999999,3.4189,,-0.0756,,,,,,,,,,,-12.583,-14.2571,-14.6074,-14.1033,-2.3233,0.1165,4
2012-12-27 00:11:00,0.1844,,,2.6196,,,122.0488,-11.8489,14.0994,-12.2328,-0.0183,3.3676,,-0.0602999999999999,,,,,,,,,,,-12.5285,-14.0971,-14.3816,-13.8345,-2.1446,0.1167,4
2012-12-27 00:12:00,0.1845,,,2.6429,,,122.0633,-11.8652,14.0994,-12.2431,-0.0176,3.2078,,-0.0565,,,,,,,,,,,-12.5025,-13.9747,-14.2404,-13.6868,-2.2042,0.1166,4
2012-12-27 00:13:00,0.1845,,,2.6514,,,122.0976,-11.8189,14.0994,-12.2431,-0.021,3.3219,,-0.0719,,,,,,,,,,,-12.4802,-13.8934,-14.1651,-13.5996,-2.0255,0.1166,4
2012-12-27 00:14:00,0.1845,,,2.6395,,,122.1314,-11.7771,14.0994,-12.2431,-0.0207999999999999,3.3562,,-0.0703,,,,,,,,,,,-12.44,-13.8397,-14.1934,-13.4915,-1.5489,0.1173,4
2012-12-27 00:15:00,0.183,,,2.5807,,,121.2541,-11.7988,14.0994,-12.2431,-0.0179999999999999,3.2477,,-0.0582999999999999,,,,,,,,,,,-12.4215,-13.8382,-14.1523,-13.4848,-1.7872,0.1162,4
2012-12-27 00:16:00,0.1829,,,2.569,,,121.2152,-11.8988,14.0994,-12.2431,-0.0171,3.145,,-0.0539999999999999,,,,,,,,,,,-12.4111,-13.8188,-14.0963,-13.4334,-1.7276,0.1163,4
2012-12-27 00:17:00,0.183,,,2.5818,,,121.2254,-11.9488,14.0994,-12.2431,-0.0189,3.3505,,-0.0623999999999999,,,,,,,,,,,-12.4021,-13.8225,-14.0515,-13.4185,-1.9659,0.1157,4
2012-12-27 00:18:00,0.183,,,2.5933,,,121.2193,-12.0168,14.0994,-12.2431,-0.0207999999999999,3.3733,,-0.0695999999999999,,,,,,,,,,,-12.4118,-13.8546,-14.0724,-13.4066,-2.1446,0.1166,4
2012-12-27 00:19:00,0.1827999999999999,,,2.5916,,,121.182,-12.0414,14.0994,-12.2431,-0.021,3.2249,,-0.0684,,,,,,,,,,,-12.4081,-13.7979,-13.9508,-13.341,-2.1446,0.1168,4
