measured_on,ac_current__319,ac_current__633,ac_power__315,ac_power__629,ac_voltage__318,ac_voltage__632,ambient_temp__320,ambient_temp__634,das_battery_voltage__326,das_temp__325,das_temp__662,dc_current__631,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dc_power__628,dc_voltage__630,inv_temp__661,inverter_temp__324,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__321,module_temp_2__322,module_temp_3__323,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__313,power_factor__327,reflector_temp_1__638,system_id
2013-03-12 00:00:00,0.1839,,2.7648,,122.5023,,-1.8387,,13.7577,-0.3503999999999999,,,-0.0105,1.6598,-0.0195,,,,-0.8881,,,,,,,,,,,,,,,,,,,-2.231,-2.3563,-2.3229,,,,,,,,,-1.5466,0.1228,,4
2013-03-12 00:01:00,0.1837999999999999,,2.7632,,122.4947,,-1.8364,,13.7577,-0.3503999999999999,,,-0.016,1.5743,-0.0276999999999999,,,,-0.883,,,,,,,,,,,,,,,,,,,-2.2143,-2.3185,-2.3026,,,,,,,,,-1.4276,0.1218999999999999,,4
2013-03-12 00:02:00,0.1837999999999999,,2.7761,,122.471,,-1.8438,,13.7577,-0.373,,,-0.0129999999999999,1.58,-0.0183,,,,-0.8948,,,,,,,,,,,,,,,,,,,-2.2188,-2.3101,-2.3021,,,,,,,,,-1.1302,0.123,,4
2013-03-12 00:03:00,0.1837999999999999,,2.7731,,122.4459,,-1.8227,,13.7577,-0.373,,,-0.0077999999999999,1.7226,-0.0138,,,,-0.8911999999999999,,,,,,,,,,,,,,,,,,,-2.1927,-2.2753,-2.2579,,,,,,,,,-1.0707,0.122,,4
2013-03-12 00:04:00,0.1837,,2.7587,,122.4665,,-1.7885,,13.7577,-0.373,,,-0.0057,1.5971,-0.0082,,,,-0.8831999999999999,,,,,,,,,,,,,,,,,,,-2.1703,-2.234,-2.2174,,,,,,,,,-1.0112,0.1221,,4
2013-03-12 00:05:00,0.1837999999999999,,2.7929,,122.4975,,-1.7854,,13.7577,-0.3872999999999999,,,-0.0041,1.6313,-0.0063,,,,-0.8896,,,,,,,,,,,,,,,,,,,-2.1709,-2.2209,-2.2035,,,,,,,,,-0.9517,0.1234,,4
2013-03-12 00:06:00,0.1837999999999999,,2.7551,,122.5212,,-1.7973,,13.7577,-0.4158999999999999,,,-0.0047999999999999,1.4944,-0.0067,,,,-0.9125,,,,,,,,,,,,,,,,,,,-2.1707,-2.2156,-2.1939,,,,,,,,,-0.7732999999999999,0.1215,,4
2013-03-12 00:07:00,0.184,,2.766,,122.5301,,-1.7427,,13.7577,-0.4158999999999999,,,-0.005,1.5971,-0.0074999999999999,,,,-0.9038,,,,,,,,,,,,,,,,,,,-2.1352,-2.1628,-2.1483,,,,,,,,,-0.7137999999999999,0.1218999999999999,,4
2013-03-12 00:08:00,0.1839,,2.7761,,122.5536,,-1.7151,,13.7573,-0.4158999999999999,,,-0.0086999999999999,1.694,-0.0132999999999999,,,,-0.901,,,,,,,,,,,,,,,,,,,-2.1077,-2.1338,-2.1215,,,,,,,,,-0.5948,0.1223,,4
2013-03-12 00:09:00,0.1839,,2.7722,,122.5476,,-1.7346,,13.7578,-0.4244,,,-0.0112,1.7283,-0.0196999999999999,,,,-0.9095,,,,,,,,,,,,,,,,,,,-2.1004,-2.1127,-2.1004,,,,,,,,,-0.5353999999999999,0.1223999999999999,,4
