measured_on,ac_current__319,ac_power__315,ac_power__4020,ac_voltage__318,ambient_temp__320,das_battery_voltage__326,das_temp__325,dc_current__4024,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dc_power__4025,dc_voltage__4023,inverter_temp__324,module_temp_1__321,module_temp_1__4021,module_temp_2__322,module_temp_3__323,poa_irradiance__313,poa_irradiance__4022,power_factor__327,system_id
2013-04-28 00:00:00,0.1826,2.8941,,122.3576,13.3804,13.384,13.0963,,0.0141,1.9145,0.0273,,,13.1693,10.9034,,10.6952,10.9965,-3.5647,,0.1292,4
2013-04-28 00:01:00,0.1829,2.9077,,122.3702,13.4633,13.3835,13.0944,,0.0144,1.9943,0.0308,,,13.1703,10.9996,,10.8042,11.0814,-3.5647,,0.1297,4
2013-04-28 00:02:00,0.1826,2.8915,,122.3333,13.4011,13.384,13.0944,,0.0123,2.0627,0.0251,,,13.1703,10.9954,,10.7378,11.0391,-3.5053,,0.1287,4
2013-04-28 00:03:00,0.1824,2.894,,122.2293,13.3637,13.3849,13.0944,,0.0134,1.9658,0.0277999999999999,,,13.1653,10.9798,,10.7364,11.0447,-3.4459,,0.1287,4
2013-04-28 00:04:00,0.1827,2.8978,,122.2083,13.3712,13.3863,13.0793,,0.0097999999999999,2.0513,0.0224,,,13.1404,10.9083,,10.6239,10.9499,-3.5647,,0.1295,4
2013-04-28 00:05:00,0.1824,2.8931,,122.2354,13.4796,13.3867,13.0718,,0.0092999999999999,2.3077,0.0231999999999999,,,13.1413,10.8435,,10.643,10.8865,-3.6241,,0.1290999999999999,4
2013-04-28 00:06:00,0.1825,2.8954,,122.1857,13.6074,13.3849,13.0718,,0.0095999999999999,2.0114,0.0188,,,13.168,10.8618,,10.6579,10.9528,-3.6241,,0.1290999999999999,4
2013-04-28 00:07:00,0.1825,2.8958,,122.19,13.8129,13.3858,13.0718,,0.0095999999999999,2.0,0.0187,,,13.2284,10.9903,,10.8478,11.1187,-3.5647,,0.1293,4
2013-04-28 00:08:00,0.1825,2.9019,,122.2073,13.983,13.3863,13.0718,,0.0066,2.3476,0.0148,,,13.3022,11.1631,,10.9882,11.2703,-3.5647,,0.1295,4
2013-04-28 00:09:00,0.1824,2.9028,,122.2155,14.1382,13.3867,13.0718,,0.0109,2.0342,0.0212999999999999,,,13.3696,11.3485,,11.1434,11.4479,-3.5647,,0.1293999999999999,4
2013-04-28 00:10:00,0.1829,2.9087,,122.2226,14.2997,13.3849,13.0718,,0.0114,2.1083,0.0230999999999999,,,13.4306,11.5163,,11.2738,11.5895,-3.1488,,0.1295999999999999,4
2013-04-28 00:11:00,0.1824,2.9034,,122.2144,14.3075,13.3844,13.0718,,0.0073,2.2621,0.0161,,,13.472,11.5529,,11.2125,11.548,-2.9706,,0.1295999999999999,4
