measured_on,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2004-02-28 00:00:00,5.179,0.0,0.0,-14.271,114.554,2.519,0.008,158.85,0.0,158.582,0.0,1.2708,1.513,13.846,14.229,14.647,0.0,0.0,-6.635,50
2004-02-28 00:15:00,5.181,0.0,0.0,-14.268,114.604,2.343,0.0089999999999999,158.942,0.0,158.669,0.0,1.43048,1.516,13.743,14.172,14.567,0.0,0.0,-7.173,50
2004-02-28 00:30:00,5.183,0.0,0.0,-14.266,114.651,1.755,0.0089999999999999,159.025,0.0,158.748,0.0,1.43123,1.514,13.348,14.038,14.394,0.0,0.0,-7.25,50
2004-02-28 00:45:00,5.535,0.0,0.0,-15.22,122.442,1.629,0.0089999999999999,169.801,0.0,169.512,0.0,1.52821,1.627,13.807,14.829,15.14,0.0,0.0,-7.312999999999999,50
2004-02-28 01:00:00,5.187,0.0,0.0,-14.274,114.763,1.157,0.0089999999999999,159.209,0.0,158.93,0.0,1.43288,1.521,12.643,13.751,14.046,0.0,0.0,-6.645,50
2004-02-28 01:15:00,4.839,0.0,0.0,-13.319,107.039,0.774,0.008,148.557,0.0,148.296,0.0,1.18846,1.413,11.88,12.885,13.124,0.0,0.0,-6.138,50
2004-02-28 01:30:00,5.182,0.0,0.0,-14.258,114.602,0.8599999999999999,0.008,159.037,0.0,158.749,0.0,1.2723,1.515,12.98,13.825,14.04,0.0,0.0,-6.649,50
2004-02-28 01:45:00,5.183,0.0,0.0,-14.258,114.621,0.108,0.008,158.991,0.0,158.711,0.0,1.27193,1.488,13.021,13.792,13.964,0.0,0.0,-6.931,50
2004-02-28 02:00:00,5.181,0.0,0.0,-14.271,114.593,0.1769999999999999,0.008,158.941,0.0,158.672,0.0,1.27153,1.502,13.02,13.792,14.022,0.0,0.0,-7.378,50
2004-02-28 02:15:00,5.175,0.0,0.0,-14.252,114.458,0.499,0.008,158.835,0.0,158.567,0.0,1.27068,1.497,13.196,13.808,14.067,0.0,0.0,-6.789,50
2004-02-28 02:30:00,5.173,0.0,0.0,-14.259,114.408,0.3009999999999999,0.008,158.773,0.0,158.495,0.0,1.27018,1.504,13.227,13.835,13.99,0.0,0.0,-7.352,50
2004-02-28 02:45:00,5.52,0.0,0.0,-15.214,122.088,-0.002,0.0089999999999999,169.45,0.0,169.15,0.0,1.52505,1.584,14.163,14.769,15.008,0.0,0.0,-8.159,50
2004-02-28 03:00:00,4.83,0.0,0.0,-13.328,106.849,0.2049999999999999,0.008,148.309,0.0,148.045,0.0,1.18647,1.384,12.324,12.864,13.033,0.0,0.0,-7.135,50
2004-02-28 03:15:00,5.176,0.0,0.0,-14.241,114.518,-0.248,0.008,158.933,0.0,158.657,0.0,1.27146,1.497,12.695,13.589,13.756,0.0,0.0,-8.173,50
2004-02-28 03:30:00,5.177,0.0,0.0,-14.263,114.531,-0.501,0.008,158.958,0.0,158.677,0.0,1.27166,1.496,12.257,13.467,13.605,0.0,0.0,-7.985,50
2004-02-28 03:45:00,5.175,0.0,0.0,-14.266,114.491,-0.3049999999999999,0.008,158.885,0.0,158.605,0.0,1.27108,1.503,12.202,13.468,13.602,0.0,0.0,-7.803,50
2004-02-28 04:00:00,5.176,0.0,0.0,-14.264,114.528,-0.4729999999999999,0.0089999999999999,158.921,0.0,158.634,0.0,1.43029,1.514,12.364,13.529,13.683,0.0,0.0,-6.662,50
2004-02-28 04:15:00,5.171,0.0,0.0,-14.263,114.417,-1.023,0.0089999999999999,158.782,0.0,158.497,0.0,1.42904,1.523,12.563,13.53,13.751,0.0,0.0,-6.213,50
2004-02-28 04:30:00,5.172,0.0,0.0,-14.271,114.454,-0.6129999999999999,0.0089999999999999,158.835,0.0,158.556,0.0,1.42952,1.514,12.615,13.467,13.652,0.0,0.0,-7.033,50
2004-02-28 04:45:00,5.172,0.0,0.0,-14.262,114.436,-0.633,0.0089999999999999,158.845,0.0,158.567,0.0,1.42961,1.516,12.721,13.563,13.727,0.0,0.0,-6.192,50
2004-02-28 05:00:00,5.171,0.0,0.0,-14.256,114.424,-0.878,0.0089999999999999,158.791,0.0,158.522,0.0,1.42912,1.51,12.863,13.575,13.8,0.0,0.0,-6.687,50
2004-02-28 05:15:00,5.169,0.0,0.0,-14.284,114.405,-1.271,0.008,158.733,0.0,158.47,0.0,1.26986,1.497,12.73,13.532,13.716,0.0,0.0,-7.55,50
2004-02-28 05:30:00,5.163,0.0,0.0,-14.269,114.27,-1.55,0.008,158.534,0.0,158.256,0.0,1.26827,1.488,12.495,13.482,13.626,0.0,0.0,-7.526,50
2004-02-28 05:45:00,5.16,0.0,0.0,-14.264,114.212,-1.757,0.008,158.473,0.0,158.189,0.0,1.26778,1.476,12.353,13.417,13.626,0.0,0.0,-7.163,50
2004-02-28 06:00:00,5.166,0.0,0.0,-14.261,114.349,-1.237,0.008,158.588,0.0,158.311,0.0,1.2687,1.475,12.219,13.355,13.528,0.0,0.0,-6.793,50
2004-02-28 06:15:00,5.146,0.0,0.0,-14.269,113.879,-0.645,0.008,157.982,0.0,157.689,0.0,1.26386,1.477,12.259,13.386,13.548,0.0,0.0,-7.248,50
2004-02-28 06:30:00,5.143,0.0,0.0,-14.123,113.818,-0.559,0.0089999999999999,157.956,0.0,157.672,0.0,1.4216,1.536,12.49,13.498,13.64,0.0,0.0,-6.67,50
2004-02-28 06:45:00,5.365,0.0,0.0,-70.317,113.912,-0.8449999999999999,0.041,193.047,0.01,193.822,1.93822,7.91493,11.19,12.722,13.65,14.158,0.0,0.0,-1.522,50
