measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2006-02-02 00:00:00,0.002,0.004,0.0,2.054,0.0109999999999999,0.007,0.0,0.006,0.0,8e-05,0.0,15.805,15.94,15.136,0.0,0.0,-6.712,50
2006-02-02 00:15:00,0.002,0.004,0.0,3.248,0.0109999999999999,0.006,0.0,0.006,0.0,7e-05,0.0,14.981,15.261,15.128,0.0,0.0,-6.044,50
2006-02-02 00:30:00,0.002,0.005,0.0,2.179,0.0109999999999999,0.006,0.0,0.007,0.0,7e-05,0.0,14.169,14.451,15.105,0.0,0.0,-7.58,50
2006-02-02 00:45:00,0.002,0.004,0.0,2.553,0.012,0.007,0.0,0.0089999999999999,0.0,8e-05,0.0,14.451,14.61,15.118,0.0,0.0,-6.745,50
2006-02-02 01:00:00,0.002,0.004,0.0,2.192,0.012,0.007,0.0,0.008,0.0,8e-05,0.0,14.885,14.724,15.115,0.0,0.0,-7.88,50
2006-02-02 01:15:00,0.002,0.005,0.0,2.329,0.012,0.006,0.0,0.0089999999999999,0.0,7e-05,0.0,15.258,15.089,15.144,0.0,0.0,-7.814,50
2006-02-02 01:30:00,0.002,0.004,0.0,3.183,0.012,0.007,0.0,0.006,0.0,8e-05,0.0,15.18,15.038,15.219,0.0,0.0,-9.583,50
2006-02-02 01:45:00,0.002,0.005,0.0,3.198,0.012,0.006,0.001,0.007,1e-05,7e-05,0.0,15.16,15.017,15.211,0.0,0.0,-7.647,50
2006-02-02 02:00:00,0.002,0.004,0.0,3.811,0.012,0.006,0.0,0.007,0.0,7e-05,0.0,14.431,14.61,15.217,0.0,0.0,-6.311,50
2006-02-02 02:15:00,0.002,0.005,0.0,3.94,0.012,0.0089999999999999,0.0,0.006,0.0,0.00011,0.0,14.233,14.363,15.152,0.0,0.0,-6.311,50
2006-02-02 02:30:00,0.002,0.004,0.0,4.104,0.012,0.006,0.0,0.007,0.0,7e-05,0.0,13.798,14.106,15.025,0.0,0.0,-6.945,50
2006-02-02 02:45:00,0.002,0.005,0.0,3.772,0.012,0.007,0.0,0.01,0.0,8e-05,0.0,14.205,14.368,14.879,0.0,0.0,-6.478,50
2006-02-02 03:00:00,0.002,0.004,0.0,3.795,0.012,0.006,0.0,0.006,0.0,7e-05,0.0,13.782,14.042,14.851,0.0,0.0,-8.214,50
