measured_on,ac_current__758,ac_power_1__767,ac_power__752,ac_volts__757,ambient_temp__759,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,inveter_temp__763,module_temp_1__760,module_temp_2__761,module_temp_3__762,poa_irradiance__750,system_id
2008-05-02 00:00:00,0.0,,0.0,0.0,3.232,0.008,0.105,0.0,0.008,0.0,0.00084,0.001,17.277,16.938,17.303,0.0,0.0,-5.742,50
2008-05-02 00:15:00,0.0,,0.0,0.0,3.04,0.008,0.123,0.0,0.007,0.0,0.0009799999999999,0.001,16.63,16.368,17.231,0.0,0.0,-5.898,50
2008-05-02 00:30:00,0.0,,0.0,0.0,2.502,0.008,0.08,0.0,0.007,0.0,0.00064,0.001,15.644,15.589,16.821,0.0,0.0,-6.025,50
2008-05-02 00:45:00,0.001,,0.0,0.0,2.519,0.0089999999999999,0.056,0.0,0.008,0.0,0.0005,0.001,15.812,15.783,16.532,0.0,0.0,-5.612,50
2008-05-02 01:00:00,0.001,,0.0,0.0,2.417,0.0089999999999999,0.078,0.0,0.008,0.0,0.0006999999999999,0.001,16.337,16.086,16.437,0.0,0.0,-5.729,50
2008-05-02 01:15:00,0.0,,0.0,0.0,2.798,0.0089999999999999,0.0729999999999999,0.0,0.007,0.0,0.00066,0.001,16.533,16.32,16.549,0.0,0.0,-5.58,50
2008-05-02 01:30:00,0.0,,0.0,0.0,2.917,0.0089999999999999,0.047,0.0,0.008,0.0,0.00042,0.0,16.539,16.42,16.569,0.0,0.0,-5.941,50
2008-05-02 01:45:00,0.001,,0.0,0.0,2.836,0.008,0.049,0.0,0.008,0.0,0.0003899999999999,0.0,16.04,16.122,16.583,0.0,0.0,-6.07,50
2008-05-02 02:00:00,0.001,,0.0,0.0,2.855,0.0089999999999999,0.05,0.0,0.0089999999999999,0.0,0.0004499999999999,0.0,15.662,15.651,16.453,0.0,0.0,-5.411,50
2008-05-02 02:15:00,0.001,,0.0,0.0,2.955,0.0089999999999999,0.064,0.0,0.008,0.0,0.00058,0.001,15.638,15.385,16.344,0.0,0.0,-5.217,50
2008-05-02 02:30:00,0.001,,0.0,0.0,2.807,0.0089999999999999,0.058,0.0,0.008,0.0,0.0005199999999999,0.001,15.149,14.759,16.172,0.0,0.0,-5.68,50
2008-05-02 02:45:00,0.001,,0.0,0.0,2.738,0.0089999999999999,0.057,0.0,0.007,0.0,0.00051,0.001,15.118,14.7,16.066,0.0,0.0,-6.062,50
2008-05-02 03:00:00,0.001,,0.0,0.0,2.921,0.01,0.062,0.0,0.007,0.0,0.00062,0.001,14.462,14.239,15.824,0.0,0.0,-5.958,50
2008-05-02 03:15:00,0.001,,0.0,0.0,2.791,0.0109999999999999,0.0609999999999999,0.0,0.008,0.0,0.00067,0.001,14.051,13.765,15.452,0.0,0.0,-5.214,50
2008-05-02 03:30:00,0.002,,0.0,0.0,2.757,0.012,0.0759999999999999,0.001,0.0089999999999999,1e-05,0.00091,0.001,13.83,13.459,15.143,0.0,0.0,-5.147,50
2008-05-02 03:45:00,0.002,,0.0,0.0,2.761,0.012,0.08,0.0,0.008,0.0,0.00096,0.001,13.825,13.553,14.958,0.0,0.0,-5.875,50
2008-05-02 04:00:00,0.002,,0.0,0.0,2.816,0.012,0.122,0.001,0.008,1e-05,0.0014599999999999,0.002,13.787,13.661,14.819,0.0,0.0,-5.608,50
2008-05-02 04:15:00,0.002,,0.0,0.0,2.834,0.012,0.224,0.001,0.008,1e-05,0.00269,0.003,13.847,13.701,14.838,0.0,0.0,-5.076,50
2008-05-02 04:30:00,0.001,,0.0,0.0,2.732,0.0129999999999999,1.745,0.0,0.874,0.0,0.0226899999999999,0.023,13.587,13.266,14.694,0.0,0.0,-5.11,50
2008-05-02 04:45:00,0.002,,0.0,0.0,2.841,0.0129999999999999,26.426,0.001,25.477,0.0254799999999999,0.34354,0.37,13.469,13.011,14.604,0.0,0.0,-4.804,50
2008-05-02 05:00:00,-0.005,,0.0,0.0,2.804,0.016,108.309,0.001,107.315,0.10732,1.73294,1.79,13.755,13.216,14.587,0.0,0.0,-3.455,50
2008-05-02 05:15:00,-0.02,,0.0,0.0,2.768,0.0539999999999999,130.771,0.014,134.245,1.87943,7.06163,8.951,13.685,13.156,14.674,0.0,0.0,-0.443,50
2008-05-02 05:30:00,-0.0299999999999999,,0.0,0.0,2.956,0.064,211.005,0.024,209.838,5.03611,13.50432,18.638,13.641,13.104,14.523,0.0,0.0,2.605,50
2008-05-02 05:45:00,0.219,,0.0,0.0,2.991,0.1469999999999999,208.164,0.114,204.949,23.36419,30.60011,49.889,14.033,13.665,14.463,0.0,0.0,7.742,50
2008-05-02 06:00:00,0.766,,0.0,0.0,3.078,0.312,183.575,0.272,182.627,49.67454,57.2754,107.019,14.481,14.383,14.507,0.0,0.0,14.927,50
2008-05-02 06:15:00,1.489,,0.0,0.0,2.867,0.465,195.87,0.4279999999999999,194.877,83.40735999999998,91.07955,175.181,14.606,14.522,14.557,0.0,0.0,26.5,50
2008-05-02 06:30:00,3.369,,0.0,0.0,2.789,0.785,220.857,0.746,221.868,165.51353,173.37275,339.288,15.067,15.004,14.675,0.0,0.0,49.556,50
2008-05-02 06:45:00,6.058,,0.0,0.0,2.902,1.256,231.833,1.227,231.93,284.57811,291.18225,577.012,15.026,14.879,14.7,0.0,0.0,84.89199999999998,50
2008-05-02 07:00:00,12.24,,0.0,0.0,3.24,2.314,241.73,2.282,244.272,557.4287,559.36322,1117.362,16.009,15.28,14.664,0.0,0.0,163.937,50
2008-05-02 07:15:00,15.933,,0.0,0.0,3.525,2.993,240.027,2.943,244.779,720.3846,718.40081,1437.629,18.369,17.12,14.707,0.0,0.0,209.702,50
2008-05-02 07:30:00,20.104,,0.0,0.0,3.778,3.708,242.653,3.67,245.728,901.82176,899.75732,1803.953,20.897,19.18,14.763,0.0,0.0,262.354,50
2008-05-02 07:45:00,32.298,,0.0,0.0,4.27,5.848,245.44,5.866,246.072,1443.45835,1435.33312,2880.631,25.891,23.795,14.979,0.0,0.0,426.838,50
2008-05-02 08:00:00,44.774,,0.0,0.0,4.525,8.201,241.099,8.226,243.377,2002.0192,1977.2529,3975.667,27.533,25.497,15.103,0.0,0.0,595.62,50
2008-05-02 08:15:00,51.544,,0.0,0.0,4.939,9.625,235.979,9.594,240.07,2303.23158,2271.29788,4573.275,30.425,26.974,15.246,0.0,0.0,701.895,50
2008-05-02 08:30:00,50.553,,0.0,0.0,5.43,9.668,230.616,9.386,240.71,2259.30406,2229.59549,4487.067,34.136,29.723,15.76,0.0,0.0,700.556,50
2008-05-02 08:45:00,51.364,,0.0,0.0,6.143,9.782,231.019,9.747000000000002,235.501,2295.42825,2259.82786,4554.773,35.826,31.964,16.464,0.0,0.0,710.774,50
2008-05-02 09:00:00,41.194,,0.0,0.0,6.243,7.792,234.46,7.752,237.619,1842.02249,1826.91232,3665.257,36.305,34.148,17.087,0.0,0.0,557.869,50
2008-05-02 09:15:00,56.054,,0.0,0.0,6.359,10.602,235.226,10.774,232.111,2500.76391,2493.86605,4994.265,36.297,33.984,17.584,0.0,0.0,764.475,50
2008-05-02 09:30:00,49.465,,0.0,0.0,6.223,9.565,228.571,9.506,233.54,2220.03124,2186.28162,4382.333,36.898,33.644,17.894,0.0,0.0,670.943,50
2008-05-02 09:45:00,28.748,,0.0,0.0,5.909,5.311,240.457,5.337,241.179,1287.17232,1277.06713,2564.314,35.988,34.712,18.043,0.0,0.0,-39.398,50
