measured_on,ac_current__633,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__629,ac_power__752,ac_voltage__632,ac_volts__757,ambient_temp__634,ambient_temp__759,das_battery_voltage__769,das_temp__662,das_temperature__764,dc_current__631,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__628,dc_power__751,dc_voltage__630,inv_temp__661,inverter_temp_2__770,inveter_temp__763,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__760,module_temp_2__761,module_temp_3__762,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__750,reflector_temp_1__638,system_id
2011-08-04 00:00:00,,0.0,0.2252,-0.4955,,-0.2702999999999999,,0.0,,23.174,13.731,,26.567,,-0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.074,25.017,21.277,,,,,,,,,-99999.0,,50
2011-08-04 00:01:00,,0.0,0.3326,-0.0415999999999999,,0.2909999999999999,,0.0,,23.152,13.727,,26.566,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.076,25.015,21.272,,,,,,,,,-99999.0,,50
2011-08-04 00:02:00,,0.0,0.3153,-0.1351,,0.1802,,0.0,,23.137,13.732,,26.567,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.082,25.017,21.224,,,,,,,,,-99999.0,,50
2011-08-04 00:03:00,,0.0,0.2477,-0.2026999999999999,,0.0449999999999999,,0.0,,23.126,13.731,,26.567,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.083,25.019,21.166,,,,,,,,,-99999.0,,50
2011-08-04 00:04:00,,0.0,0.3377999999999999,0.0901,,0.4279,,0.0,,23.078,13.731,,26.567,,0.0,0.0,0.0,-0.0020999999999999,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.083,25.029,21.122,,,,,,,,,-99999.0,,50
2011-08-04 00:05:00,,0.0,0.3153,-0.0901,,0.2252,,0.0,,23.025,13.731,,26.565,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.082,25.028,21.051,,,,,,,,,-99999.0,,50
2011-08-04 00:06:00,,0.0,0.3153,-0.1577,,0.1577,,0.0,,23.058,13.731,,26.562,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.077,25.018,21.028,,,,,,,,,-99999.0,,50
2011-08-04 00:07:00,,0.0,0.3603,-0.1126,,0.2477,,0.0,,23.028,13.731,,26.563,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.075,25.013,21.046,,,,,,,,,-99999.0,,50
2011-08-04 00:08:00,,0.0,0.3603,-0.0901,,0.2702999999999999,,0.0,,23.008,13.73,,26.561,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.058,25.01,21.053,,,,,,,,,-99999.0,,50
2011-08-04 00:09:00,,0.0,0.2928,-0.1126,,0.1802,,0.0,,22.957,13.731,,26.563,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.048,25.011,21.051,,,,,,,,,-99999.0,,50
2011-08-04 00:10:00,,0.0,0.3377999999999999,-0.1351,,0.2026999999999999,,0.0,,22.951,13.731,,26.561,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.043,25.01,21.024,,,,,,,,,-99999.0,,50
2011-08-04 00:11:00,,0.0,0.1802,-0.3153,,-0.1351,,0.0,,22.969,13.73,,26.555,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.028,24.999,21.022,,,,,,,,,-99999.0,,50
2011-08-04 00:12:00,,0.0,0.1126,-0.9009,,-0.7883,,0.0,,23.02,13.731,,26.554,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.019,24.988,20.988,,,,,,,,,-99999.0,,50
2011-08-04 00:13:00,,0.0,0.3603,-0.1577,,0.2026999999999999,,0.0,,23.087,13.73,,26.553,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,-99999.0,,,,,,,,,,,,,,,,,,,25.008,24.977,20.997,,,,,,,,,-99999.0,,50
