measured_on,ac_current__251,ac_current__758,ac_power_1__767,ac_power_2__768,ac_power__247,ac_power__752,ac_voltage__250,ac_volts__757,ambient_temp__1222,ambient_temp__252,ambient_temp__759,battery_pack_voltage__1363,biased_3_10_leakage_na__1236,biased_3_11_leakage_na__1237,biased_3_12_leakage_na__1238,biased_3_13_leakage_na__1239,biased_3_16_leakage_na__1242,biased_3_3b_leakage_na__5161,biased_3_4b_leakage_na__5162,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,biased_module_voltage__1226,control_module_temp__1218,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__769,das_temp__1368,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__249,dc_pos_current__754,dc_pos_voltage__248,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__246,dc_power__751,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,gh_irradiance__1217,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,interior_temp__1366,inverter_temp_2__770,inverter_temp__256,inveter_temp__763,irradiance_average__1224,irradiance_stability__1225,mod10_coulombs__1252,mod11_coulombs__1253,mod12_coulombs__1254,mod1_coulombs__1243,mod2_coulombs__1244,mod3b_coulombs__5164,mod4b_coulombs__5165,mod5b_coulombs__5166,module_temp_1__253,module_temp_1__760,module_temp_2__254,module_temp_2__761,module_temp_3__255,module_temp_3__762,module_temp_4__257,module_temp_5_1__4821,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__750,precipitation__4822,program_codeset__1373,relative_humidity__1223,resistor_box_3_temp__1370,unbiased_3_1_leakage_na__1227,unbiased_3_2_leakage_na__1228,unbiased_3_5b_leakage_na__5163,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,vcm_above_threshold__1372,wetness_kohms__1219,wind_direction__1221,wind_speed__1220,system_id
2012-09-26 00:00:00,,0.0,0.4512999999999999,-0.2933,,0.1579,,0.0,,,11.918,,,,,,,,,,,,,,,,,,,,,,,,,,,13.911,,20.006,0.0058999999999999,0.240736,,0.0,,0.0,0.0,0.0014203423999999,,0.0014203423999999,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,19.203,,18.774,,11.373,,,,,,,0.0,,,,,,,,,,,,,,,,,,50
2012-09-26 00:01:00,,0.0,0.4641,0.0,,0.4641,,0.0,,,11.867,,,,,,,,,,,,,,,,,,,,,,,,,,,13.908,,20.002,0.0064,0.240736,,0.0,,0.0,0.0,0.0015407104,,0.0015407104,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,19.264,,18.857,,11.357,,,,,,,0.0144,,,,,,,,,,,,,,,,,,50
2012-09-26 00:02:00,,0.0,0.4287,-0.1128,,0.3159,,0.0,,,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,13.912,,20.001,0.0061999999999999,0.22569,,0.0,,0.0,0.0,0.0013992779999999,,0.0013992779999999,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,19.218,,18.839,,11.328,,,,,,,0.0,,,,,,,,,,,,,,,,,,50
2012-09-26 00:03:00,,0.0,0.4738,-0.0225999999999999,,0.4512999999999999,,0.0,,,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,,13.912,,19.995,0.0057999999999999,0.210644,,0.0,,0.0,0.0,0.0012217351999999,,0.0012217351999999,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,19.104,,18.677,,11.265,,,,,,,0.0,,,,,,,,,,,,,,,,,,50
2012-09-26 00:04:00,,0.0,0.4738,-0.2482,,0.2255999999999999,,0.0,,,11.567,,,,,,,,,,,,,,,,,,,,,,,,,,,13.911,,19.994,0.0061999999999999,0.210644,,0.0,,0.0,0.0,0.0013059928,,0.0013059928,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,19.059,,18.608,,11.185,,,,,,,0.0,,,,,,,,,,,,,,,,,,50
2012-09-26 00:05:00,,0.0,0.4061,-0.1128,,0.2933,,0.0,,,11.544,,,,,,,,,,,,,,,,,,,,,,,,,,,13.911,,19.993,0.0058999999999999,0.1955979999999999,,0.0,,0.0,0.0,0.0011540281999999,,0.0011540281999999,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,18.99,,18.572,,11.137,,,,,,,-0.0335999999999999,,,,,,,,,,,,,,,,,,50
2012-09-26 00:06:00,,0.0,0.4061,-0.2255999999999999,,0.1804999999999999,,0.0,,,11.539,,,,,,,,,,,,,,,,,,,,,,,,,,,13.911,,19.992,0.0061999999999999,0.1655059999999999,,0.0,,0.0,0.0,0.0010261372,,0.0010261372,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,18.955,,18.604,,11.107,,,,,,,0.0,,,,,,,,,,,,,,,,,,50
2012-09-26 00:07:00,,0.0,0.4061,-0.1128,,0.2933,,0.0,,,11.508,,,,,,,,,,,,,,,,,,,,,,,,,,,13.912,,19.994,0.0061999999999999,0.15046,,0.0,,0.0,0.0,0.0009328519999999,,0.0009328519999999,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,18.983,,18.645,,11.074,,,,,,,0.0,,,,,,,,,,,,,,,,,,50
2012-09-26 00:08:00,,0.0,0.4287,-0.2707999999999999,,0.1579,,0.0,,,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,13.911,,19.994,0.0055999999999999,0.15046,,0.0,,0.0,0.0,0.000842576,,0.000842576,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,19.028,,18.686,,11.059,,,,,,,-0.0167999999999999,,,,,,,,,,,,,,,,,,50
2012-09-26 00:09:00,,0.0,0.4738,0.0676999999999999,,0.5414999999999999,,0.0,,,11.656,,,,,,,,,,,,,,,,,,,,,,,,,,,13.912,,19.989,0.0055999999999999,0.135414,,0.0,,0.0,0.0,0.0007583184,,0.0007583184,,,,,,,,,0.0,,-99999.0,,,,,,,,,,,,18.992,,18.678,,11.057,,,,,,,0.0,,,,,,,,,,,,,,,,,,50
