measured_on,ac_current__758,ac_power__752,ac_volts__757,ambient_temp__759,das_battery_voltage__769,das_temperature__764,dc_neg_current__756,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_1__760,module_temp_2__761,module_temp_3__762,system_id
2021-03-20 00:00:00,0.0,-2.5266,0.0,5.5533,0.0,13.849,0.0046499999999999,0.0,-0.0001399999999999,-0.0021199999999999,0.0,0.6316399999999999,0.0,-3.1582,21.285,21.147,2.001,50
2021-03-20 00:01:00,0.0,-2.6168,0.0,5.6167,-3e-05,13.85,0.00508,-0.00636,-0.0002799999999999,0.0021199999999999,0.0,0.60908,-3e-05,-3.2259,21.259,21.116,1.9883,50
2021-03-20 00:02:00,0.0,-2.5491,0.0,5.7273,0.0,13.85,0.00508,0.0,0.0,-0.0042399999999999,0.0,0.56396,0.0,-3.1131,21.214,21.065,2.0864,50
2021-03-20 00:03:00,0.0,-2.4589,0.0,5.8169,2e-05,13.849,0.00479,0.0042399999999999,0.0002799999999999,-0.00636,0.0,0.45117,2e-05,-2.9101,21.133,20.96,2.2815,50
2021-03-20 00:04:00,0.0,-2.5491,0.0,5.8564,-3e-05,13.85,0.00508,-0.00636,0.0,0.0,0.0,0.56396,-4e-05,-3.1131,21.013,20.868,2.38,50
2021-03-20 00:05:00,0.0,-2.707,0.0,6.0065,-3e-05,13.85,0.00508,-0.00636,-0.0001399999999999,0.0,0.0,0.51885,-3e-05,-3.2259,20.971,20.847,2.4685,50
2021-03-20 00:06:00,0.0,-2.4589,0.0,6.3436,0.0,13.85,0.00493,0.0,0.0001399999999999,-0.00636,0.0,0.58652,0.0,-3.0454,21.02,20.899,2.5322,50
2021-03-20 00:07:00,0.0,-2.5266,0.0,6.6872,-3e-05,13.85,0.00508,-0.00636,-0.0002799999999999,0.0021199999999999,0.0,0.51885,-3e-05,-3.0454,21.094,20.975,2.6738,50
2021-03-20 00:08:00,0.0,-2.7296,0.0,7.1774,-2e-05,13.85,0.00493,-0.0042399999999999,-0.00042,-0.0042399999999999,0.0,0.56396,-2e-05,-3.2935,21.143,21.023,2.9418,50
2021-03-20 00:09:00,0.0,-2.4363,0.0,7.6938,0.0,13.85,0.00493,0.0,-0.0002799999999999,-0.0021199999999999,0.0,0.56396,0.0,-3.0003,21.162,21.03,3.1802,50
