measured_on,ac_current__779,ac_power__773,ac_volts__778,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__772,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,poa_irradiance__771,system_id
1995-04-29 00:15:00,5.82,-19.96,122.9,3.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83,2.494,1.553,2.487,0.0,51
1995-04-29 00:30:00,5.837,-19.82,123.0,3.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69,2.65,2.445,2.643,0.0,51
1995-04-29 00:45:00,5.855,-19.08,123.1,3.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.53,2.65,2.643,2.65,0.0,51
1995-04-29 01:00:00,5.841,-19.93,122.8,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42,2.65,2.65,2.65,0.0,51
1995-04-29 01:15:00,5.848,-19.88,122.7,3.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32,2.842,2.691,2.89,0.0,51
1995-04-29 01:30:00,5.859,-20.16,122.9,3.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,3.438,3.007,3.629,0.0,51
1995-04-29 01:45:00,5.865,-20.39,122.8,3.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,3.877,3.651,3.876,0.0,51
1995-04-29 02:00:00,5.862,-20.53,122.9,3.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.11,3.878,3.83,3.885,0.0,51
1995-04-29 02:15:00,5.861,-20.65,122.8,3.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,3.885,3.824,3.885,0.0,51
1995-04-29 02:30:00,5.857,-20.86,122.7,3.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08,3.885,3.865,3.885,0.0,51
