measured_on,ac_current__379,ac_current__411,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__375,ac_power__407,ac_power__773,ac_voltage__378,ac_voltage__410,ac_volts__778,ambient_temp__380,ambient_temp__412,ambient_temp__780,das_battery_voltage__386,das_battery_voltage__790,das_temp__385,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__377,dc_pos_current__409,dc_pos_current__775,dc_pos_voltage__376,dc_pos_voltage__408,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__374,dc_power__406,dc_power__772,inverter_temp_2__791,inverter_temp__384,inverter_temp__416,inveter_temp__784,module_temp_1__381,module_temp_1__413,module_temp_1__781,module_temp_2__382,module_temp_2__414,module_temp_2__782,module_temp_3__383,module_temp_3__415,module_temp_3__783,module_temp_4__417,module_temp_5__418,module_temp_6__419,module_temp_7__420,poa_irradiance__373,poa_irradiance__405,poa_irradiance__771,power_factor__387,system_id
2011-07-05 00:00:00,,,0.0,-4.6,-0.3449999999999999,,,-4.945,,,119.72,,,21.847,,13.666,,29.395,0.0005999999999999,0.0022,,,-0.0001,,,0.0,0.0,0.0,,,0.0,16.442,,,25.06,,,-3.9964,,,-26.97,,,18.839,,,,,,,-99999.0,,51
2011-07-05 00:01:00,,,0.0,-14.007,-8.3953,,,-22.403,,,119.91,,,21.691,,13.665,,29.381,0.0,-0.0022,,,0.0001,,,-0.0022,0.0,0.0,,,0.0,16.193,,,24.436,,,7.0028,,,-26.97,,,18.749,,,,,,,-99999.0,,51
2011-07-05 00:02:00,,,0.0,5.336,7.268,,,12.604,,,119.39,,,21.598,,13.669,,29.368,0.0006999999999999,0.0,,,-0.0005999999999999,,,0.0,0.0,0.0,,,0.0,16.656,,,25.688,,,16.199,,,-26.97,,,18.696,,,,,,,-99999.0,,51
2011-07-05 00:03:00,,,0.0,-7.865999999999999,-2.024,,,-9.8901,,,119.76,,,21.498,,13.669,,29.351,-0.0001,0.0064999999999999,,,-0.0004,,,0.0,0.0,0.0,,,0.0,16.855,,,23.68,,,19.105,,,-26.97,,,18.608,,,,,,,-99999.0,,51
2011-07-05 00:04:00,,,0.0,12.788,3.634,,,16.422,,,119.54,,,21.419,,13.67,,29.337,0.0006999999999999,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,17.152,,,25.805,,,19.786,,,-26.97,,,18.53,,,,,,,-99999.0,,51
2011-07-05 00:05:00,,,0.0,-2.9901,-12.098,,,-15.088,,,120.18,,,21.369,,13.67,,29.319,0.0005999999999999,0.0064999999999999,,,0.0004,,,-0.0022,0.0,0.0,,,0.0,17.082,,,25.382,,,19.786,,,-26.97,,,18.471,,,,,,,-99999.0,,51
2011-07-05 00:06:00,,,0.0,-9.3153,-0.0229,,,-9.338,,,119.66,,,21.353,,13.669,,29.304,0.0,0.0108,,,-0.0004,,,0.0022,0.0,0.0,,,0.0,16.138,,,24.563,,,19.787,,,-26.97,,,18.403,,,,,,,-99999.0,,51
2011-07-05 00:07:00,,,0.0,10.028,3.9559,,,13.984,,,119.43,,,21.363,,13.67,,29.289,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,17.517,,,25.781,,,19.786,,,-26.97,,,18.374,,,,,,,-99999.0,,51
2011-07-05 00:08:00,,,0.0,-5.658,-1.817,,,-7.474999999999999,,,119.7,,,21.304,,13.671,,29.274,0.0008999999999999,0.0,,,0.0,,,-0.0022,0.0,0.0,,,0.0,16.811,,,24.829,,,19.788,,,-26.97,,,18.357,,,,,,,-99999.0,,51
2011-07-05 00:09:00,,,0.0,-8.0271,-4.6463,,,-12.673,,,119.77,,,21.322,,13.672,,29.256,0.0001,0.0,,,0.0001,,,0.0,0.0,0.0,,,0.0,16.072,,,25.142,,,19.788,,,-26.97,,,18.352,,,,,,,-99999.0,,51
2011-07-05 00:10:00,,,0.0,0.1608,-2.3231,,,-2.1624,,,119.71,,,21.291,,13.672,,29.24,0.0001,0.0043,,,-0.0001,,,0.0,0.0,0.0,,,0.0,16.988,,,25.136,,,19.788,,,-26.97,,,18.312,,,,,,,-99999.0,,51
2011-07-05 00:11:00,,,0.0,-3.3121,-1.6561,,,-4.9682,,,119.71,,,21.3,,13.673,,29.227,0.0004,0.0064999999999999,,,0.0,,,0.0,0.0,0.0,,,0.0,16.785,,,25.032,,,19.789,,,-26.97,,,18.362,,,,,,,-99999.0,,51
2011-07-05 00:12:00,,,0.0,-3.1281,-3.5194,,,-6.6475,,,119.85,,,21.314,,13.673,,29.211,0.0,0.0043,,,0.0,,,0.0,0.0,0.0,,,0.0,16.195,,,25.549,,,19.789,,,-26.97,,,18.331,,,,,,,-99999.0,,51
2011-07-05 00:13:00,,,0.0,-5.9346,-5.3135,,,-11.248,,,119.92,,,21.227,,13.673,,29.194,0.0,0.0,,,-0.0002999999999999,,,0.0022,0.0,0.0,,,0.0,16.374,,,24.85,,,19.789,,,-26.97,,,18.246,,,,,,,-99999.0,,51
2011-07-05 00:14:00,,,0.0,0.0917,-0.1378,,,-0.0461,,,119.73,,,21.208,,13.673,,29.176,0.0,0.0043,,,-0.0002999999999999,,,-0.0022,0.0,0.0,,,0.0,17.084,,,25.6,,,18.772,,,-26.97,,,18.232,,,,,,,-99999.0,,51
2011-07-05 00:15:00,,,0.0,-1.7943,-3.3122,,,-5.1064,,,119.85,,,21.242,,13.673,,29.162,0.0002999999999999,0.0,,,-0.0002999999999999,,,0.0022,0.0,0.0,,,0.0,17.231,,,24.731,,,19.518,,,-26.97,,,18.185,,,,,,,-99999.0,,51
2011-07-05 00:16:00,,,0.0,-6.6017,1.3115,,,-5.2902,,,119.71,,,21.34,,13.673,,29.145,0.0002999999999999,0.0022,,,-0.0005999999999999,,,0.0,0.0,0.0,,,0.0,17.517,,,23.617,,,19.789,,,-26.97,,,18.221,,,,,,,-99999.0,,51
2011-07-05 00:17:00,,,0.0,11.019,-0.2761,,,10.743,,,119.78,,,21.494,,13.673,,29.128,0.0005999999999999,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,18.099,,,26.021,,,19.789,,,-26.97,,,18.248,,,,,,,-99999.0,,51
2011-07-05 00:18:00,,,0.0,8.5576,0.667,,,9.2247,,,119.77,,,21.568,,13.673,,29.113,0.0006999999999999,0.0022,,,0.0002999999999999,,,-0.0043,0.0,0.0,,,0.0,17.172,,,25.849,,,19.789,,,-26.97,,,18.277,,,,,,,-99999.0,,51
2011-07-05 00:19:00,,,0.0,12.261,5.3599,,,17.621,,,119.6,,,21.643,,13.674,,29.094,0.001,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,17.708,,,25.693,,,19.789,,,-26.97,,,18.303,,,,,,,-99999.0,,51
2011-07-05 00:20:00,,,0.0,-1.0122,4.6008,,,3.5886,,,119.63,,,21.674,,13.675,,29.075,0.0004,0.0022,,,-0.0001,,,0.0,0.0,0.0,,,0.0,17.007,,,25.137,,,19.789,,,-26.97,,,18.252,,,,,,,-99999.0,,51
2011-07-05 00:21:00,,,0.0,-8.7184,-16.149,,,-24.868,,,120.5,,,21.585,,13.675,,29.057,0.0,0.0,,,0.0,,,-0.0022,0.0,0.0,,,0.0,17.122,,,24.988,,,19.789,,,-26.97,,,18.136,,,,,,,-99999.0,,51
2011-07-05 00:22:00,,,0.0,-4.8309,-15.183,,,-20.014,,,120.42,,,21.415,,13.675,,29.041,-0.0005999999999999,0.0,,,0.0002999999999999,,,0.0,0.0,0.0,,,0.0,16.654,,,25.283,,,19.789,,,-26.97,,,18.023,,,,,,,-99999.0,,51
2011-07-05 00:23:00,,,0.0,4.7619,-8.764699999999998,,,-4.0027,,,120.19,,,21.262,,13.676,,29.025,0.0005999999999999,0.0043,,,0.0002999999999999,,,-0.0022,0.0,0.0,,,0.0,17.452,,,25.473,,,19.789,,,-26.97,,,17.927,,,,,,,-99999.0,,51
2011-07-05 00:24:00,,,0.0,-13.066,-10.766,,,-23.833,,,120.33,,,21.115,,13.676,,29.011,0.0,-0.0022,,,0.0,,,-0.0022,0.0,0.0,,,0.0,16.215,,,24.576,,,19.383,,,-26.97,,,17.84,,,,,,,-99999.0,,51
2011-07-05 00:25:00,,,0.0,10.605,3.8877,,,14.493,,,119.78,,,20.999,,13.676,,28.992,0.0002999999999999,0.0022,,,-0.0001,,,-0.0022,0.0,0.0,,,0.0,17.955,,,25.57,,,19.789,,,-26.97,,,17.761,,,,,,,-99999.0,,51
2011-07-05 00:26:00,,,0.0,5.9811,8.028399999999998,,,14.01,,,119.64,,,21.067,,13.676,,28.975,0.0005999999999999,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,17.337,,,25.078,,,19.789,,,-26.97,,,17.79,,,,,,,-99999.0,,51
