measured_on,ac_current__251,ac_current__669,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__247,ac_power__665,ac_power__773,ac_voltage__250,ac_voltage__668,ac_volts__778,ambient_temp__252,ambient_temp__670,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__4685,dc_neg_current__777,dc_neg_voltage__4684,dc_neg_voltage__776,dc_pos_current__249,dc_pos_current__667,dc_pos_current__775,dc_pos_voltage__248,dc_pos_voltage__666,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__246,dc_power__664,dc_power__772,dc_power_neg__4686,inverter_temp_2__791,inverter_temp__256,inverter_temp__673,inveter_temp__784,module_temp_1__253,module_temp_1__671,module_temp_1__781,module_temp_2__254,module_temp_2__672,module_temp_2__782,module_temp_3__255,module_temp_3__4687,module_temp_3__783,module_temp_4__257,module_temp_5__258,module_temp_6__259,module_temp_7__260,poa_irradiance__245,poa_irradiance__663,poa_irradiance__771,system_id
2011-09-01 00:00:00,,,0.0,8.6987,4.4643,,,13.163,,,119.52,,,22.591,13.705,27.792,,0.0001,,0.0952,,,-0.0001,,,0.0,0.0,0.0,,,0.0,,17.247,,,24.873,,,21.376,,,-26.97,,,20.433,,,,,,,-99999.0,51
2011-09-01 00:01:00,,,0.0,1.2197,-3.3828,,,-2.1632,,,119.63,,,22.626,13.702,27.776,,0.0004,,0.0887,,,-0.0001,,,0.0,0.0,0.0,,,0.0,,16.572,,,25.342,,,21.44,,,-26.97,,,20.479,,,,,,,-99999.0,51
2011-09-01 00:02:00,,,0.0,-0.8974999999999999,-1.9791,,,-2.8765,,,119.75,,,22.821,13.707,27.763,,0.0001,,0.0887,,,0.0,,,0.0,0.0,0.0,,,0.0,,18.057,,,23.204,,,21.825,,,-26.97,,,20.594,,,,,,,-99999.0,51
2011-09-01 00:03:00,,,0.0,-3.0836,-1.1736,,,-4.2572,,,119.78,,,22.913,13.707,27.748,,0.0,,0.0931,,,0.0001,,,0.0,0.0,0.0,,,0.0,,16.206,,,24.683,,,22.017,,,-26.97,,,20.599,,,,,,,-99999.0,51
2011-09-01 00:04:00,,,0.0,-1.5418,-4.0501,,,-5.5919,,,119.92,,,22.828,13.706,27.735,,0.0001,,0.1039,,,-0.0002999999999999,,,0.0,0.0,0.0,,,0.0,,16.879,,,24.405,,,22.017,,,-26.97,,,20.629,,,,,,,-99999.0,51
2011-09-01 00:05:00,,,0.0,-3.889,-3.1297,,,-7.0187,,,119.87,,,23.055,13.708,27.722,,0.0001,,0.106,,,0.0001,,,0.0,0.0,0.0,,,0.0,,16.093,,,24.865,,,22.399,,,-26.97,,,20.761,,,,,,,-99999.0,51
2011-09-01 00:06:00,,,0.0,3.9811,3.4748,,,7.455899999999998,,,119.64,,,23.079,13.707,27.709,,0.0001,,0.1082,,,0.0,,,0.0,0.0,0.0,,,0.0,,17.071,,,24.569,,,22.209,,,-26.97,,,20.79,,,,,,,-99999.0,51
2011-09-01 00:07:00,,,0.0,-6.8347,-5.7991,,,-12.634,,,119.96,,,23.076,13.707,27.696,,0.0001,,0.1039,,,-0.0002999999999999,,,0.0,0.0,0.0,,,0.0,,15.827,,,24.462,,,22.588,,,-26.97,,,20.805,,,,,,,-99999.0,51
2011-09-01 00:08:00,,,0.0,-1.5188,-0.7823999999999999,,,-2.3012,,,119.72,,,23.011,13.707,27.682,,0.0,,0.1039,,,-0.0001,,,-0.0022,0.0,0.0,,,0.0,,16.39,,,24.329,,,22.146,,,-26.97,,,20.798,,,,,,,-99999.0,51
2011-09-01 00:09:00,,,0.0,-1.4268,-4.6714,,,-6.0982,,,119.93,,,22.927,13.708,27.67,,0.0001,,0.0995,,,-0.0002999999999999,,,-0.0022,0.0,0.0,,,0.0,,16.638,,,24.654,,,22.082,,,-26.97,,,20.735,,,,,,,-99999.0,51
