measured_on,ac_current__427,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__423,ac_power__773,ac_voltage__426,ac_volts__778,ambient_temp__428,ambient_temp__780,das_battery_voltage__434,das_battery_voltage__790,das_temp__433,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__425,dc_pos_current__775,dc_pos_voltage__424,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__422,dc_power__772,inverter_temp_2__791,inverter_temp__432,inveter_temp__784,module_temp_1__429,module_temp_1__781,module_temp_2__430,module_temp_2__782,module_temp_3__431,module_temp_3__783,poa_irradiance__421,poa_irradiance__771,system_id
2011-10-14 00:00:00,,0.0,-11.576,-3.3899,,-14.966,,120.9,,8.4,,13.922,,19.368,-0.0001,0.566,,-0.0001,,0.0,0.0,-0.0001,,-0.0001,10.51,,21.359,,6.6022,,-26.97,,4.3944,,-99999.0,51
2011-10-14 00:01:00,,0.0,11.346,3.6827,,15.029,,120.13,,8.3555,,13.921,,19.351,-0.0004,0.5705,,0.0,,0.0,0.0,-0.0002,,-0.0002,12.171,,20.921,,6.6022,,-26.97,,4.3436,,-99999.0,51
2011-10-14 00:02:00,,0.0,11.161,6.8491,,18.011,,119.29,,8.3183,,13.924,,19.335,0.0001,0.5812,,0.0,,0.0,0.0,0.0001,,0.0001,13.245,,20.999,,6.6022,,-26.97,,4.2864,,-99999.0,51
2011-10-14 00:03:00,,0.0,-7.1719,-8.6478,,-15.82,,119.78,,8.2652,,13.925,,19.32,0.0002999999999999,0.566,,-0.0001,,-0.0022,0.0,0.0002,,0.0002,11.24,,19.907,,6.2156,,-26.97,,4.1864,,-99999.0,51
2011-10-14 00:04:00,,0.0,-1.4989,8.8324,,7.3335,,119.05,,8.2072,,13.926,,19.303,-0.0001,0.5834,,-0.0002999999999999,,-0.0043,0.0,-0.0001,,-0.0001,12.641,,20.304,,4.9394,,-26.97,,4.0959,,-99999.0,51
2011-10-14 00:05:00,,0.0,3.2747,4.7046,,7.9793,,119.31,,8.1585,,13.927,,19.289,0.0002999999999999,0.5746999999999999,,-0.0006999999999999,,0.0022,0.0,0.0002,,0.0002,12.781,,20.452,,4.3432,,-26.97,,4.0417,,-99999.0,51
2011-10-14 00:06:00,,0.0,2.6291,-9.5707,,-6.9417,,119.89,,8.113799999999998,,13.928,,19.275,0.0004,0.5725,,0.0001,,-0.0043,0.0,0.0002999999999999,,0.0002999999999999,12.399,,20.985,,4.2433,,-26.97,,4.0078,,-99999.0,51
2011-10-14 00:07:00,,0.0,-3.9204,-4.4736,,-8.394,,119.71,,7.9908,,13.928,,19.259,0.0,0.5638999999999998,,0.0,,0.0022,0.0,0.0,,0.0,12.106,,20.754,,5.4293,,-26.97,,4.0022,,-99999.0,51
2011-10-14 00:08:00,,0.0,-12.338,-14.898,,-27.236,,120.12,,7.8205,,13.93,,19.243,0.0001,0.5920999999999998,,0.0,,-0.0022,0.0,0.0001,,0.0001,10.897,,20.161,,6.1189,,-26.97,,3.9641,,-99999.0,51
2011-10-14 00:09:00,,0.0,6.4804,-5.5118,,0.9686,,119.74,,7.5766,,13.93,,19.228,0.0,0.5986,,-0.0001,,0.0,0.0,0.0,,0.0,12.927,,20.709,,5.4325,,-26.97,,3.9205,,-99999.0,51
