measured_on,ac_current__379,ac_current__779,ac_power_1__788,ac_power_2__789,ac_power__375,ac_power__773,ac_voltage__378,ac_volts__778,ambient_temp__380,ambient_temp__780,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,das_battery_voltage__386,das_battery_voltage__790,das_temp__385,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__377,dc_pos_current__775,dc_pos_voltage__376,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__374,dc_power__772,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,inverter_temp_2__791,inverter_temp__384,inveter_temp__784,module_temp_1__381,module_temp_1__781,module_temp_2__382,module_temp_2__782,module_temp_3__383,module_temp_3__783,module_temp_5_1__4821,poa_irradiance__373,poa_irradiance__771,power_factor__387,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,system_id
2011-10-19 00:00:00,,0.0,-4.2277,-3.5117,,-7.7394,,120.33,,2.1986,,,,,,,,,,,,,,,,14.164,,11.129,0.0,0.2238,,0.0001,,0.0,0.0,0.0,,0.0,,,,3.8971,,12.469,,0.5381,,-26.97,,-1.09,,,-99999.0,,,,,,,,51
2011-10-19 00:01:00,,0.0,-3.6502,2.8648,,-0.7854999999999999,,120.03,,2.1316,,,,,,,,,,,,,,,,14.162,,11.118,0.0001,0.2238,,-0.0001,,-0.0022,0.0,0.0,,0.0,,,,4.216,,12.437,,0.4273,,-26.97,,-1.1393,,,-99999.0,,,,,,,,51
2011-10-19 00:02:00,,0.0,2.7262,-0.2772999999999999,,2.4489,,120.24,,2.0981,,,,,,,,,,,,,,,,14.165,,11.107,0.0004,0.2194,,0.0,,0.0,0.0,0.0001,,0.0001,,,,4.3501,,12.912,,0.3124,,-26.97,,-1.2064,,,-99999.0,,,,,,,,51
2011-10-19 00:03:00,,0.0,-4.0195,-2.5644,,-6.5838,,120.3,,2.0692,,,,,,,,,,,,,,,,14.165,,11.096,0.0,0.226,,-0.0001,,-0.0022,0.0,0.0,,0.0,,,,3.8214,,12.409,,0.4273,,-26.97,,-1.2007,,,-99999.0,,,,,,,,51
2011-10-19 00:04:00,,0.0,-0.6006,0.693,,0.0923999999999999,,120.17,,2.057,,,,,,,,,,,,,,,,14.166,,11.084,0.0,0.226,,0.0,,0.0,0.0,0.0,,0.0,,,,4.3723,,12.567,,0.4273,,-26.97,,-1.2355,,,-99999.0,,,,,,,,51
2011-10-19 00:05:00,,0.0,-5.4062,-2.3337,,-7.739899999999999,,120.3,,2.0339,,,,,,,,,,,,,,,,14.166,,11.074,0.0001,0.2281,,-0.0001,,0.0,0.0,0.0,,0.0,,,,3.7573,,12.496,,0.0827999999999999,,-26.97,,-1.3268,,,-99999.0,,,,,,,,51
2011-10-19 00:06:00,,0.0,-7.162,-6.4461,,-13.608,,120.43,,1.9963,,,,,,,,,,,,,,,,14.167,,11.062,0.0,0.226,,-0.0004,,0.0,0.0,0.0,,0.0,,,,3.5426,,12.491,,-0.4914,,-26.97,,-1.4656,,,-99999.0,,,,,,,,51
2011-10-19 00:07:00,,0.0,-5.7299,-6.5156,,-12.246,,120.43,,1.9569,,,,,,,,,,,,,,,,14.167,,11.053,0.0001,0.2215999999999999,,0.0,,-0.0022,0.0,0.0,,0.0,,,,3.6498,,12.539,,-0.8358999999999999,,-26.97,,-1.5948,,,-99999.0,,,,,,,,51
2011-10-19 00:08:00,,0.0,3.2346,-3.2115,,0.0231999999999999,,120.32,,1.9363,,,,,,,,,,,,,,,,14.167,,11.046,0.0004,0.2281,,0.0,,0.0,0.0,0.0001,,0.0001,,,,4.3079,,12.871,,-0.9508,,-26.97,,-1.7144,,,-99999.0,,,,,,,,51
2011-10-19 00:09:00,,0.0,-0.0695,-1.0398,,-1.1093,,120.01,,1.9041,,,,,,,,,,,,,,,,14.167,,11.034,0.0005999999999999,0.2238,,0.0,,-0.0043,0.0,0.0001,,0.0001,,,,4.0438,,12.644,,-0.9508,,-26.97,,-1.8212,,,-99999.0,,,,,,,,51
