measured_on,ac_current__779,ac_meter_1_power_kw__1017,ac_meter_2_power_kw__1018,ac_power_1__788,ac_power_2__789,ac_power__773,ac_power_metered_1_2__1133,ac_power_metered_kw__1016,ac_volts__778,ambient_temp__780,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__790,das_temp__1368,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power_2__787,dc_power__1132,dc_power__772,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,inv1_ac_power_kw__1019,inv1_dc_current__1021,inv1_dc_power__1130,inv1_dc_voltage__1020,inv1_temp__1022,inv2_ac_power_kw__1023,inv2_dc_current__1025,inv2_dc_power__1131,inv2_dc_voltage__1024,inv2_temp__1026,inverter_temp_2__791,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,poa_irradiance__771,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2011-10-22 00:00:00,0.0,,,-9.8952,-11.694,-21.59,,,121.44,11.53,,,,13.949,,18.506,0.0,0.1258,-0.0002999999999999,0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.917,19.563,10.904,-26.97,8.5881,-99999.0,,,,51
2011-10-22 00:01:00,0.0,,,5.1438,-5.4666,-0.3227999999999999,,,121.17,11.562,,,,13.945,,18.5,0.0004,0.1300999999999999,0.0,-0.0022,0.0,0.0001,,0.0001,,,,,,,,,,,,,,,11.372,20.299,10.906,-26.97,8.5579,-99999.0,,,,51
2011-10-22 00:02:00,0.0,,,-1.5685,-1.9375,-3.5059,,,121.04,11.587,,,,13.949,,18.493,0.0002999999999999,0.1323,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.438,19.384,10.905,-26.97,8.5466,-99999.0,,,,51
2011-10-22 00:03:00,0.0,,,0.6918999999999998,1.4302,2.1221,,,120.91,11.577,,,,13.949,,18.487,0.0001,0.1302,-0.0001,-0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.674,20.026,10.906,-26.97,8.5159,-99999.0,,,,51
2011-10-22 00:04:00,0.0,,,-7.4273,-6.5969,-14.024,,,121.22,11.597,,,,13.949,,18.48,0.0002999999999999,0.1258,-0.0004,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.759,19.574,10.905,-26.97,8.5462,-99999.0,,,,51
2011-10-22 00:05:00,0.0,,,-4.8209,-4.5209,-9.3418,,,121.17,11.708,,,,13.95,,18.474,0.0001,0.1258,-0.0001,-0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.056,19.768,10.904,-26.97,8.614499999999998,-99999.0,,,,51
2011-10-22 00:06:00,0.0,,,3.5983,0.0461999999999999,3.6445,,,121.04,11.794,,,,13.95,,18.466,0.0001,0.1302,0.0001,-0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.948,19.827,10.906,-26.97,8.7008,-99999.0,,,,51
2011-10-22 00:07:00,0.0,,,-3.8982,-7.1966,-11.095,,,120.86,11.81,,,,13.95,,18.463,-0.0001,0.1171,-0.0001,0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.886,19.636,10.906,-26.97,8.7635,-99999.0,,,,51
2011-10-22 00:08:00,0.0,,,-0.2767,-2.9063,-3.183,,,119.77,11.804,,,,13.95,,18.457,0.0001,0.1193,-0.0002999999999999,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.449,19.687,10.906,-26.97,8.7141,-99999.0,,,,51
2011-10-22 00:09:00,0.0,,,-3.6904,-3.7136,-7.404099999999999,,,119.76,11.826,,,,13.951,,18.452,0.0,0.1128,-0.0001,-0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.935,20.041,10.906,-26.97,8.667099999999998,-99999.0,,,,51
2011-10-22 00:10:00,0.0,,,-1.9144,-1.1071,-3.0215,,,119.67,11.858,,,,13.952,,18.443,-0.0002999999999999,0.1106,-0.0001,-0.0043,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.452,19.692,10.906,-26.97,8.5639,-99999.0,,,,51
2011-10-22 00:11:00,0.0,,,-3.2983,-1.2686,-4.5669,,,119.75,11.874,,,,13.952,,18.439,0.0001,0.1085,-0.0002999999999999,-0.0043,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.131,19.703,10.906,-26.97,8.6433,-99999.0,,,,51
2011-10-22 00:12:00,0.0,,,1.315,-6.0433,-4.7284,,,119.97,11.987,,,,13.953,,18.435,-0.0001,0.1171,0.0,-0.0043,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.452,19.809,10.907,-26.97,8.7188,-99999.0,,,,51
2011-10-22 00:13:00,0.0,,,-0.5071999999999999,-7.1736,-7.680799999999999,,,119.97,12.026,,,,13.953,,18.427,0.0001,0.1215,0.0,-0.0064999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.441,19.258,10.906,-26.97,8.7856,-99999.0,,,,51
2011-10-22 00:14:00,0.0,,,10.011,4.1749,14.186,,,119.56,11.895,,,,13.954,,18.425,0.0004,0.115,-0.0001,-0.0022,0.0,0.0001,,0.0001,,,,,,,,,,,,,,,12.342,20.545,10.906,-26.97,8.818099999999998,-99999.0,,,,51
2011-10-22 00:15:00,0.0,,,6.4358,1.1072,7.543,,,119.62,11.65,,,,13.955,,18.417,0.0005999999999999,0.1171,0.0001,0.0,0.0,0.0001,,0.0001,,,,,,,,,,,,,,,12.978,18.911,10.906,-26.97,8.803499999999998,-99999.0,,,,51
2011-10-22 00:16:00,0.0,,,-6.4352,-2.5834,-9.0186,,,119.81,11.472,,,,13.955,,18.417,0.0002999999999999,0.1215,-0.0004,0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.59,19.98,10.907,-26.97,8.7712,-99999.0,,,,51
2011-10-22 00:17:00,0.0,,,-3.8982,-8.165699999999998,-12.064,,,120.03,11.299,,,,13.955,,18.404,0.0,0.1063,0.0,-0.0043,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.306,19.588,10.907,-26.97,8.7568,-99999.0,,,,51
2011-10-22 00:18:00,0.0,,,6.4819,9.8496,16.332,,,119.34,11.165,,,,13.955,,18.401,0.0001,0.1063,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,12.016,19.983,10.906,-26.97,8.7125,-99999.0,,,,51
2011-10-22 00:19:00,0.0,,,-0.8765,7.1969,6.3203,,,119.34,11.059,,,,13.955,,18.394,0.0006999999999999,0.1128,0.0,0.0,0.0,0.0001,,0.0001,,,,,,,,,,,,,,,11.969,19.631,10.906,-26.97,8.657999999999998,-99999.0,,,,51
2011-10-22 00:20:00,0.0,,,-14.002,-3.6676,-17.67,,,119.81,10.984,,,,13.956,,18.388,0.0001,0.1128,-0.0004,0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.269,19.194,10.821,-26.97,8.5949,-99999.0,,,,51
2011-10-22 00:21:00,0.0,,,-10.288,-8.604,-18.892,,,120.06,10.94,,,,13.957,,18.383,0.0,0.115,-0.0004,0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.234,19.582,10.821,-26.97,8.5579,-99999.0,,,,51
2011-10-22 00:22:00,0.0,,,-4.752,-5.3516,-10.104,,,119.94,10.898,,,,13.957,,18.372,0.0001,0.115,-0.0001,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.856,19.313,10.222,-26.97,8.5144,-99999.0,,,,51
2011-10-22 00:23:00,0.0,,,1.1534,-0.7150999999999998,0.4383,,,119.74,10.787,,,,13.956,,18.37,0.0001,0.1063,0.0,-0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.516,19.506,9.4372,-26.97,8.461,-99999.0,,,,51
2011-10-22 00:24:00,0.0,,,0.692,-1.1073,-0.4153,,,119.88,10.638,,,,13.958,,18.361,0.0001,0.1106,0.0,0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.209,19.595,8.823299999999998,-26.97,8.412499999999998,-99999.0,,,,51
2011-10-22 00:25:00,0.0,,,5.1902,9.55,14.74,,,119.5,10.786,,,,13.958,,18.35,0.0005999999999999,0.1041,0.0,0.0,0.0,0.0001,,0.0001,,,,,,,,,,,,,,,12.074,19.949,9.1757,-26.97,8.469699999999998,-99999.0,,,,51
2011-10-22 00:26:00,0.0,,,-9.4348,-1.3148,-10.75,,,119.91,10.948,,,,13.958,,18.348,0.0001,0.1041,-0.0004,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.609,19.154,10.388,-26.97,8.5335,-99999.0,,,,51
2011-10-22 00:27:00,0.0,,,-13.518,-15.64,-29.158,,,120.51,11.033,,,,13.958,,18.335,0.0,0.1041,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,9.834,18.927,10.308,-26.97,8.4955,-99999.0,,,,51
2011-10-22 00:28:00,0.0,,,-6.1358,-14.833,-20.968,,,120.29,10.86,,,,13.958,,18.33,-0.0004,0.1041,0.0,0.0,0.0,-0.0001,,-0.0001,,,,,,,,,,,,,,,11.165,18.931,8.9114,-26.97,8.411099999999998,-99999.0,,,,51
2011-10-22 00:29:00,0.0,,,-12.941,-4.3137,-17.255,,,119.75,10.556,,,,13.958,,18.323,-0.0001,0.1063,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.394,19.041,8.823299999999998,-26.97,8.2811,-99999.0,,,,51
2011-10-22 00:30:00,0.0,,,-3.5526,-9.319400000000002,-12.872,,,119.96,10.397,,,,13.958,,18.315,0.0002999999999999,0.1063,0.0001,-0.0064999999999999,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.14,20.034,8.823299999999998,-26.97,8.183899999999998,-99999.0,,,,51
2011-10-22 00:31:00,0.0,,,3.5755,-8.3045,-4.7289,,,119.91,10.259,,,,13.958,,18.309,0.0,0.1106,-0.0001,-0.0043,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.767,19.427,8.823299999999998,-26.97,8.138,-99999.0,,,,51
2011-10-22 00:32:00,0.0,,,-5.3287,-6.3437,-11.672,,,119.87,10.229,,,,13.958,,18.301,-0.0002999999999999,0.1041,0.0,-0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,10.88,19.501,8.823299999999998,-26.97,8.087899999999998,-99999.0,,,,51
2011-10-22 00:33:00,0.0,,,4.1983,1.9377,6.1361,,,119.56,10.286,,,,13.958,,18.293,0.0001,0.1019999999999999,-0.0001,-0.0022,0.0,0.0,,0.0,,,,,,,,,,,,,,,11.593,19.575,8.823299999999998,-26.97,8.0534,-99999.0,,,,51
