measured_on,ac_current__411,ac_current__779,ac_power__407,ac_power__773,ac_voltage__410,ac_volts__778,ambient_temp__412,ambient_temp__780,das_battery_voltage__790,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__409,dc_pos_current__775,dc_pos_voltage__408,dc_pos_voltage__774,dc_power_1__786,dc_power__406,dc_power__772,inverter_temp__416,inveter_temp__784,module_temp_1__413,module_temp_1__781,module_temp_2__414,module_temp_2__782,module_temp_3__415,module_temp_3__783,module_temp_4__417,module_temp_5__418,module_temp_6__419,module_temp_7__420,poa_irradiance__405,poa_irradiance__771,system_id
2011-11-14 00:00:00,,0.0,,-8.598499999999998,,120.21,,6.3529,14.116,12.909,0.0001,0.5237,,0.0,,0.0,-8.598499999999998,,0.0001,,14.405,,4.3205,,-26.97,,2.7382,,,,,,-3.8131,51
2011-11-14 00:15:00,,0.0,,-5.2355,,119.91,,6.3469,14.117,12.897,0.0002,0.5102999999999999,,-0.0001,,-0.0016,-5.2355,,0.0001,,14.427,,4.2739,,-26.97,,2.3143,,,,,,-3.4634,51
2011-11-14 00:30:00,,0.0,,-6.7722,,119.71,,6.5236,14.118,12.88,0.0001,0.5222,,-0.0001,,-0.0005999999999999,-6.7722,,0.0,,14.39,,4.334,,-26.97,,3.005,,,,,,-2.9676,51
2011-11-14 00:45:00,,0.0,,-6.3165,,119.53,,5.8366,14.12,12.827,0.0002,0.5514,,-0.0001,,-0.0012999999999999,-6.3165,,0.0001,,14.441,,4.274,,-26.97,,2.6962,,,,,,-3.1757,51
2011-11-14 01:00:00,,0.0,,-10.088,,119.71,,5.6207,14.122,12.736,0.0001,0.5677999999999999,,0.0,,-0.0006999999999999,-10.088,,0.0001,,14.271,,4.2749,,-26.97,,2.5405,,,,,,-3.1082,51
2011-11-14 01:15:00,,0.0,,-5.1785,,119.61,,5.169,14.125,12.629,0.0001,0.5564999999999999,,-0.0002,,-0.0015,-5.1785,,0.0001,,14.277,,4.2488,,-26.97,,1.8517,,,,,,-3.305,51
2011-11-14 01:30:00,,0.0,,-5.4726,,119.64,,5.1216,14.129,12.53,0.0001,0.5453,,-0.0001,,-0.002,-5.4726,,0.0001,,14.257,,4.1945,,-26.97,,1.6595,,,,,,-3.0768,51
2011-11-14 01:45:00,,0.0,,-6.5953,,119.58,,4.8275,14.132,12.448,0.0002,0.5545999999999999,,0.0,,-0.0011999999999999,-6.5953,,0.0001,,14.023,,3.2951,,-26.97,,1.1675,,,,,,-3.3985,51
2011-11-14 02:00:00,,0.0,,-5.348,,119.6,,3.8769,14.135,12.373,0.0001,0.5596999999999999,,-0.0001,,-0.0004,-5.348,,0.0001,,13.888,,1.7534,,-26.97,,-0.0137,,,,,,-4.0531,51
2011-11-14 02:15:00,,0.0,,-7.4134,,120.07,,4.3263,14.135,12.278,0.0,0.5488,,-0.0002,,0.0,-7.4134,,0.0,,13.872,,2.9465,,-26.97,,0.7097,,,,,,-2.8881,51
2011-11-14 02:30:00,,0.0,,-5.8521,,120.02,,2.419,14.137,12.173,0.0001,0.5524,,-0.0001,,0.0001,-5.8521,,0.0001,,13.731,,0.5858999999999999,,-26.97,,-1.0972,,,,,,-4.2218,51
2011-11-14 02:45:00,,0.0,,-5.0085,,119.97,,1.9772,14.14,12.058,0.0,0.5637999999999999,,-0.0001,,-0.0001,-5.0085,,0.0,,13.572,,-0.6633,,-26.97,,-1.8927,,,,,,-3.862,51
2011-11-14 03:00:00,,0.0,,-5.6738,,119.95,,2.4392,14.144,11.928,0.0001,0.5661,,-0.0001,,0.0001,-5.6738,,0.0001,,13.428,,-0.7244,,-26.97,,-2.2083,,,,,,-3.5393,51
2011-11-14 03:15:00,,0.0,,-4.9992,,119.88,,1.9117,14.148,11.801,0.0,0.5509,,-0.0001,,-0.0006999999999999,-4.9992,,0.0,,13.606,,-0.953,,-26.97,,-2.1242,,,,,,-3.1032,51
2011-11-14 03:30:00,,0.0,,-10.111,,120.01,,1.136,14.153,11.665,0.0001,0.5188,,-0.0001,,-0.0001,-10.111,,0.0001,,13.195,,-0.9512,,-26.97,,-2.7009,,,,,,-2.7097,51
2011-11-14 03:45:00,,0.0,,-7.8624,,120.05,,2.102,14.157,11.532,0.0,0.5308,,0.0,,-0.0016,-7.8624,,0.0,,13.094,,-0.9508,,-26.97,,-2.3302,,,,,,-2.3475,51
2011-11-14 04:00:00,,0.0,,-6.4382,,119.88,,1.815,14.16,11.402,-0.0001,0.5347,,0.0,,-0.0015,-6.4382,,0.0,,12.915,,-0.8894999999999998,,-26.97,,-2.6789,,,,,,-3.1945,51
2011-11-14 04:15:00,,0.0,,-2.1318,,119.64,,2.5829,14.165,11.268,0.0001,0.5676999999999999,,0.0,,-0.0022,-2.1318,,0.0001,,12.936,,-0.0548999999999999,,-26.97,,-1.7055,,,,,,-2.6827,51
2011-11-14 04:30:00,,0.0,,-5.245,,119.46,,2.0115,14.169,11.149,0.0002,0.5358,,-0.0001,,0.0004,-5.245,,0.0001,,12.707,,-0.9431,,-26.97,,-2.2995,,,,,,-2.8391,51
2011-11-14 04:45:00,,0.0,,-7.8221,,119.55,,1.1838,14.172,11.049,0.0001,0.521,,-0.0001,,-0.0004,-7.8221,,0.0001,,12.564,,-0.9508,,-26.97,,-3.0826,,,,,,-3.1205,51
2011-11-14 05:00:00,,0.0,,-9.6582,,119.57,,0.9924,14.175,10.933,0.0001,0.4744999999999999,,-0.0001,,-0.0008999999999999,-9.6582,,0.0,,12.246,,-0.9507,,-26.97,,-3.2946,,,,,,-3.1983,51
2011-11-14 05:15:00,,0.0,,-6.4003,,119.41,,0.9612,14.18,10.806,0.0001,0.4596,,0.0,,-0.0011999999999999,-6.4003,,0.0001,,12.303,,-0.9572,,-26.97,,-3.5195,,,,,,-3.0927,51
2011-11-14 05:30:00,,0.0,,-6.7748,,120.21,,0.4491999999999999,14.183,10.672,0.0001,0.4482999999999999,,0.0,,-0.0012999999999999,-6.7748,,0.0001,,12.183,,-1.2892,,-26.97,,-4.1779,,,,,,-3.3086,51
2011-11-14 05:45:00,,0.0,,-2.9796,,119.93,,0.8404,14.187,10.529,0.0002,0.4713999999999999,,-0.0001,,-0.0002999999999999,-2.9796,,0.0001,,11.996,,-0.995,,-26.97,,-3.994,,,,,,-2.9386,51
2011-11-14 06:00:00,,0.0,,-2.9612,,120.06,,0.9748,14.19,10.392,0.0002,0.5915,,-0.0001,,-0.0001,-2.9612,,0.0001,,11.901,,-1.0268,,-26.97,,-3.8123,,,,,,-3.0399,51
2011-11-14 06:15:00,,0.0,,-7.3181,,119.76,,1.3036,14.194,10.271,0.0001,3.0268,,0.0,,1.4082,-7.3181,,0.0002999999999999,,11.746,,-1.1538,,-26.97,,-3.7184,,,,,,-2.4448,51
2011-11-14 06:30:00,,0.0,,-5.8822,,119.61,,2.9579,14.198,10.185,0.0,43.262,,-0.0002999999999999,,42.7,-5.8822,,-0.0194,,11.731,,-0.107,,-26.97,,-2.1072,,,,,,-2.2964,51
2011-11-14 06:45:00,,0.0,,-7.4382,,119.45,,2.8385,14.201,10.135,0.0357999999999999,141.91,,0.0135,,139.57,-7.4382,,7.477,,11.75,,0.3886999999999999,,-26.97,,-1.7926,,,,,,0.1935,51
2011-11-14 07:00:00,,0.0,,-3.3617,,119.16,,2.7181,14.203,10.097,0.0643999999999999,241.42,,0.0146,,237.74,-3.3617,,18.861,,11.686,,1.6501,,-26.97,,-0.8216,,,,,,8.919,51
2011-11-14 07:15:00,,0.0,,32.968,,118.98,,1.3975,14.206,10.069,0.3682,192.63,,0.0071,,267.5,32.968,,72.16299999999998,,11.37,,-0.9386,,-26.97,,-2.0606,,,,,,21.757,51
2011-11-14 07:30:00,,0.0,,50.53,,118.93,,0.6444999999999999,14.207,10.03,0.4499,195.95,,0.0054999999999999,,274.62,50.53,,89.937,,11.489,,-0.9457,,-26.97,,-2.652,,,,,,28.264,51
2011-11-14 07:45:00,,0.0,,781.77,,118.82,,0.6955,14.21,9.9792,3.6487,234.34,,0.002,,303.05,781.77,,870.35,,11.409,,0.3648,,-26.97,,1.598,,,,,,258.39,51
2011-11-14 08:00:00,,0.0,,1670.6,,119.01,,3.376,14.21,9.9552,7.423199999999999,247.17,,0.0016999999999999,,300.66,1670.6,,1833.6,,11.279,,11.775,,-26.97,,17.333,,,,,,550.17,51
2011-11-14 08:15:00,,0.0,,1886.5,,119.18,,6.1296,14.21,10.03,8.678499999999998,236.15,,0.0025999999999999,,292.17,1886.5,,2049.3,,11.49,,21.076,,-26.97,,26.632,,,,,,637.21,51
2011-11-14 08:30:00,,0.0,,2034.4,,119.14,,8.326499999999998,14.206,10.229,9.7215,228.31,,0.0045999999999999,,287.65,2034.4,,2220.2,,11.551,,24.955,,-26.97,,31.807,,,,,,703.85,51
2011-11-14 08:45:00,,0.0,,2203.4,,119.22,,7.8616,14.198,10.527,10.682,224.64,,0.0051999999999999,,285.82,2203.4,,2400.8,,11.918,,24.961,,-26.97,,34.687,,,,,,771.9299999999998,51
2011-11-14 09:00:00,,0.0,,2346.9,,118.93,,8.9619,14.189,10.917,11.535,220.48,,0.0064999999999999,,283.65,2346.9,,2544.6,,12.374,,23.383,,-26.97,,37.669,,,,,,832.87,51
2011-11-14 09:15:00,,0.0,,2396.0,,119.01,,9.9888,14.177,11.39,12.253,212.63,,0.0089999999999999,,278.14,2396.0,,2607.2,,13.077,,-26.944,,-26.97,,42.954,,,,,,877.95,51
2011-11-14 09:30:00,,0.0,,2488.1,,118.86,,9.6402,14.163,11.933,12.857,210.9,,0.0109999999999999,,278.23,2488.1,,2714.5,,13.197,,-21.235,,-26.97,,44.293,,,,,,923.19,51
2011-11-14 09:45:00,,0.0,,2680.3,,118.9,,9.7378,14.147,12.524,13.398,217.48,,0.0109,,286.18,2680.3,,2917.0,,13.796,,22.056,,-26.97,,38.337,,,,,,968.78,51
2011-11-14 10:00:00,,0.0,,2764.5,,118.86,,10.367,14.131,13.104,13.899,217.08,,0.0119,,286.82,2764.5,,3020.2,,14.214,,22.927,,-26.97,,38.748,,,,,,1007.0,51
2011-11-14 10:15:00,,0.0,,2802.0,,118.7,,11.061,14.114,13.662,14.241,214.02,,0.014,,282.73,2802.0,,3051.5,,14.944,,27.109,,-26.97,,42.744,,,,,,1036.4,51
2011-11-14 10:30:00,,0.0,,2975.0,,118.48,,10.018,14.099,14.198,14.7,221.78,,0.0125,,294.15,2975.0,,3263.8,,15.236,,16.109,,-26.97,,32.29,,,,,,1069.3,51
2011-11-14 10:45:00,,0.0,,2401.9,,119.04,,10.25,14.084,14.661,11.801,224.93,,0.0148,,290.28,2401.9,,2633.2,,16.022,,17.427,,-26.97,,30.931,,,,,,855.0,51
2011-11-14 11:00:00,,0.0,,3033.3,,119.37,,10.78,14.069,15.058,15.317,215.79,,0.0158,,288.85,3033.3,,3309.5,,16.35,,22.358,,-26.97,,38.074,,,,,,1104.1,51
2011-11-14 11:15:00,,0.0,,2965.0,,119.28,,10.791,14.058,15.437,15.157,213.59,,0.0172,,285.82,2965.0,,3241.9,,16.765,,23.09,,-26.97,,40.956,,,,,,1096.8,51
2011-11-14 11:30:00,,0.0,,2940.3,,119.48,,11.48,14.047,15.793,15.123,212.63,,0.0184,,284.21,2940.3,,3220.8,,16.918,,25.55,,-26.97,,42.751,,,,,,1095.7,51
2011-11-14 11:45:00,,0.0,,3009.3,,119.57,,11.133,14.035,16.148,15.312,214.71,,0.0185999999999999,,287.66,3009.3,,3292.8,,17.511,,22.508,,-26.97,,39.518,,,,,,1107.1,51
2011-11-14 12:00:00,,0.0,,2836.5,,119.44,,11.735,14.026,16.47,14.357,216.61,,0.0188,,286.59,2836.5,,3112.6,,17.578,,23.986,,-26.97,,39.316,,,,,,1042.6,51
2011-11-14 12:15:00,,0.0,,2938.6,,119.4,,11.621,14.016,16.782,14.919,215.27,,0.0190999999999999,,287.13,2938.6,,3216.8,,17.959,,22.337,,-26.97,,39.213,,,,,,1083.4,51
2011-11-14 12:30:00,,0.0,,2854.1,,119.42,,12.482,14.008,17.064,14.511,215.38,,0.0193,,285.47,2854.1,,3130.7,,18.148,,25.113,,-26.97,,40.383,,,,,,1051.8,51
2011-11-14 12:45:00,,0.0,,2732.0,,119.39,,12.634,13.999,17.366,13.727,217.75,,0.0199,,285.99,2732.0,,2995.1,,18.29,,25.392,,-26.97,,38.934,,,,,,992.7600000000001,51
2011-11-14 13:00:00,,0.0,,2636.7,,118.98,,12.318,13.991,17.659,13.171,218.24,,0.0201999999999999,,286.48,2636.7,,2879.9,,18.99,,24.703,,-26.97,,38.371,,,,,,947.22,51
2011-11-14 13:15:00,,0.0,,1784.8,,119.37,,11.945,13.983,17.907,8.9046,219.19,,0.0204,,283.84,1784.8,,1965.3,,18.969,,21.723,,-26.97,,31.197,,,,,,632.97,51
2011-11-14 13:30:00,,0.0,,1814.0,,120.0,,11.154,13.974,18.107,8.7199,229.0,,0.0202999999999999,,290.28,1814.0,,1999.1,,19.172,,16.57,,-26.97,,25.007,,,,,,627.13,51
2011-11-14 13:45:00,,0.0,,2213.4,,120.03,,11.378,13.969,18.229,10.735,225.19,,0.02,,290.64,2213.4,,2426.4,,19.44,,19.517,,-26.97,,30.544,,,,,,767.4199999999998,51
2011-11-14 14:00:00,,0.0,,2219.3,,120.05,,11.326,13.965,18.306,10.499,229.31,,0.0193,,293.79,2219.3,,2413.3,,19.69,,18.196,,-26.97,,28.427,,,,,,750.47,51
2011-11-14 14:15:00,,0.0,,1829.6,,120.01,,11.449,13.963,18.37,8.8334,227.75,,0.02,,290.93,1829.6,,2017.5,,19.36,,17.92,,-26.97,,26.985,,,,,,629.5,51
2011-11-14 14:30:00,,0.0,,1371.0,,120.2,,11.404,13.961,18.418,6.5423,231.77,,0.0201999999999999,,288.59,1371.0,,1525.9,,19.388,,16.928,,-26.97,,23.783,,,,,,469.18,51
2011-11-14 14:45:00,,0.0,,1248.5,,119.78,,10.867,13.96,18.437,5.8202,232.43,,0.02,,291.98,1248.5,,1382.3,,19.805,,14.156,,-26.97,,19.392,,,,,,418.09,51
2011-11-14 15:00:00,,0.0,,839.98,,119.86,,10.564,13.96,18.409,4.0954,227.64,,0.0201,,290.08,839.98,,938.52,,19.819,,12.875,,-26.97,,16.263,,,,,,290.32,51
2011-11-14 15:15:00,,0.0,,372.27,,119.67,,10.283,13.963,18.334,1.7916,235.88,,0.0208999999999999,,283.81,372.27,,431.59,,19.718,,11.033,,-26.97,,12.512,,,,,,134.02,51
2011-11-14 15:30:00,,0.0,,318.49,,119.77,,10.067,13.965,18.225,1.6209,228.44,,0.0204,,283.69,318.49,,377.65,,19.664,,10.907,,-26.97,,10.896,,,,,,117.29,51
2011-11-14 15:45:00,,0.0,,400.56,,119.67,,10.264,13.968,18.106,1.9243,240.52,,0.0194,,287.29,400.56,,468.69,,19.242,,10.908,,-26.97,,11.527,,,,,,146.28,51
2011-11-14 16:00:00,,0.0,,128.62,,119.71,,10.118,13.971,17.995,0.754,220.81,,0.0216,,273.38,128.62,,172.54,,19.399,,10.749,,-26.97,,10.263,,,,,,54.378,51
2011-11-14 16:15:00,,0.0,,79.747,,119.62,,10.023,13.975,17.866,0.5449,210.36,,0.0223,,267.48,79.747,,120.68,,19.263,,8.938399999999998,,-26.97,,9.1919,,,,,,38.892,51
2011-11-14 16:30:00,,0.0,,16.611,,119.49,,9.6167,13.978,17.76,0.2389,196.43,,0.0242999999999999,,245.7,16.611,,53.155,,19.111,,8.8275,,-26.97,,7.9036,,,,,,16.39,51
2011-11-14 16:45:00,,0.0,,-7.588,,119.63,,9.2413,13.981,17.642,0.0693,211.59,,0.0287,,215.4,-7.588,,20.569,,19.15,,8.0183,,-26.97,,6.4974,,,,,,5.9202,51
2011-11-14 17:00:00,,0.0,,-10.852,,119.7,,8.787,13.984,17.524,0.0345999999999999,131.75,,0.0167,,132.85,-10.852,,6.7584,,18.874,,6.6143,,-26.97,,5.1881,,,,,,-0.1123,51
2011-11-14 17:15:00,,0.0,,-7.136,,119.09,,8.4494,13.988,17.438,-0.0001,65.723,,-0.0001,,65.74,-7.136,,-0.0173999999999999,,18.68,,6.4449,,-26.97,,4.5042,,,,,,-2.6793,51
2011-11-14 17:30:00,0.1651958,0.0,8.064146,-5.4439,244.6719,118.9,1.739655,7.7177,13.992,17.347,0.0,4.6058,-0.0014762379999999,-0.0001,1.406346,3.0857,-5.4439,-0.001916401,-0.0004,0.3941526,18.625,0.3236715,4.2552,-0.007511498,-26.97,0.1100383,2.977,0.0274070099999999,0.1342530999999999,-0.0752050199999999,2.242048,-3.995071,-3.5107,51
2011-11-14 17:45:00,,0.0,,-5.581,,119.12,,6.668,13.995,17.229,0.0001,0.7029999999999998,,-0.0002,,0.0002999999999999,-5.581,,0.0001,,18.458,,2.9216,,-26.97,,1.6114,,,,,,-3.8985,51
2011-11-14 18:00:00,,0.0,,-10.076,,119.44,,5.7562,13.998,17.081,0.0002,0.4416999999999999,,-0.0001,,0.0,-10.076,,0.0001,,18.544,,1.7348,,-26.97,,0.2525999999999999,,,,,,-4.611,51
