measured_on,ac_current__569,ac_current__779,ac_power__565,ac_power__773,ac_voltage__568,ac_volts__778,ambient_temp__570,ambient_temp__780,das_battery_voltage__575,das_battery_voltage__790,das_temp__574,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__567,dc_pos_current__775,dc_pos_voltage__566,dc_pos_voltage__774,dc_power_1__786,dc_power__564,dc_power__772,inveter_temp__784,module_temp_1__571,module_temp_1__781,module_temp_2__572,module_temp_2__782,module_temp_3__573,module_temp_3__783,poa_irradiance__563,poa_irradiance__771,system_id
2011-11-24 00:00:00,,0.0,,1.6218,,120.01,,8.4861,,14.022,,16.154,0.0002,0.2190999999999999,,0.0,,-0.0008999999999999,1.6218,,0.0,17.546,,4.9288,,-26.97,,2.7162,,-3.5352,51
2011-11-24 00:15:00,,0.0,,-8.0554,,120.38,,7.886599999999999,,14.023,,16.052,0.0001,0.1907,,-0.0001,,-0.0016999999999999,-8.0554,,0.0,17.364,,5.603,,-26.97,,3.0591,,-3.3566,51
2011-11-24 00:30:00,,0.0,,-6.3444,,120.02,,9.2155,,14.027,,15.932,0.0002,0.1764999999999999,,0.0,,0.0001,-6.3444,,0.0,17.044,,6.6221,,-26.97,,4.2193,,-2.9298,51
2011-11-24 00:45:00,,0.0,,-8.5402,,119.87,,10.172,,14.032,,15.843,0.0002999999999999,0.1738,,0.0,,-0.002,-8.5402,,0.0001,16.868,,8.7009,,-26.97,,6.0883,,-2.7029,51
2011-11-24 01:00:00,,0.0,,-4.7518,,119.65,,11.216,,14.035,,15.774,0.0001,0.1779999999999999,,-0.0001,,-0.0005999999999999,-4.7518,,0.0,17.07,,10.156,,-26.97,,7.9244,,-2.4926,51
2011-11-24 01:15:00,,0.0,,-6.5569,,119.7,,11.428,,14.036,,15.741,0.0001,0.1715,,-0.0001,,0.0001,-6.5569,,0.0,17.009,,10.919,,-26.97,,8.575699999999998,,-2.8557,51
2011-11-24 01:30:00,,0.0,,-6.1445,,119.78,,11.221,,14.037,,15.748,0.0,0.1655,,-0.0001,,-0.0006999999999999,-6.1445,,0.0,16.794,,10.914,,-26.97,,8.4764,,-3.1547,51
2011-11-24 01:45:00,,0.0,,-1.725,,119.24,,11.183,,14.037,,15.771,0.0002,0.1562999999999999,,-0.0001,,0.0002999999999999,-1.725,,0.0,17.035,,10.862,,-26.97,,8.176199999999998,,-3.1502,51
2011-11-24 02:00:00,,0.0,,-3.3592,,119.08,,11.208,,14.038,,15.793,0.0001,0.1527,,-0.0001,,-0.0012999999999999,-3.3592,,0.0,17.068,,9.3466,,-26.97,,7.6049,,-3.866,51
2011-11-24 02:15:00,,0.0,,-12.652,,119.2,,9.6031,,14.038,,15.821,0.0001,0.1531,,-0.0001,,-0.0004,-12.652,,0.0,16.7,,6.9915,,-26.97,,4.8789,,-5.3347,51
2011-11-24 02:30:00,,0.0,,-11.275,,119.31,,7.6731,,14.036,,15.837,0.0002,0.1547,,0.0,,-0.0025,-11.275,,0.0,16.926,,4.2891,,-26.97,,2.3921,,-5.5921,51
2011-11-24 02:45:00,,0.0,,-4.544,,119.16,,7.0799,,14.037,,15.797,0.0002999999999999,0.1572,,-0.0001,,-0.0004,-4.544,,0.0001,17.18,,4.2624,,-26.97,,1.5986,,-4.7111,51
2011-11-24 03:00:00,,0.0,,-7.278699999999999,,119.27,,7.869399999999999,,14.038,,15.712,0.0002,0.1585,,-0.0001,,-0.0019,-7.278699999999999,,0.0,16.892,,5.1935,,-26.97,,2.5094,,-3.6177,51
2011-11-24 03:15:00,,0.0,,-5.2954,,119.17,,9.3462,,14.041,,15.601,0.0001,0.1610999999999999,,-0.0001,,0.0001,-5.2954,,0.0,16.87,,6.6228,,-26.97,,3.864,,-3.4593,51
2011-11-24 03:30:00,,0.0,,-6.1465,,119.15,,9.7872,,14.044,,15.53,0.0001,0.1610999999999999,,0.0,,0.0001,-6.1465,,0.0,16.775,,6.2084,,-26.97,,3.5916,,-3.7942,51
2011-11-24 03:45:00,,0.0,,-8.2443,,119.25,,8.493399999999998,,14.044,,15.481,0.0002,0.1547,,0.0,,-0.0012999999999999,-8.2443,,0.0,16.692,,5.9881,,-26.97,,2.923,,-4.326,51
2011-11-24 04:00:00,,0.0,,-0.9003999999999999,,119.16,,8.1066,,14.047,,15.394,0.0001,0.1567,,0.0,,-0.0016999999999999,-0.9003999999999999,,0.0,16.792,,4.8383,,-26.97,,2.8795,,-3.9461,51
2011-11-24 04:15:00,,0.0,,-6.1162,,119.14,,9.2871,,14.049,,15.324,0.0001,0.1595999999999999,,-0.0001,,-0.0002999999999999,-6.1162,,0.0,16.455,,5.3492,,-26.97,,3.0686,,-3.374,51
2011-11-24 04:30:00,,0.0,,-5.3374,,119.06,,8.939,,14.051,,15.284,0.0,0.1598999999999999,,-0.0001,,-0.0005999999999999,-5.3374,,0.0,16.396,,5.2504,,-26.97,,2.8706,,-3.4348,51
2011-11-24 04:45:00,,0.0,,-5.596,,119.01,,8.417,,14.053,,15.237,0.0,0.1552,,-0.0002,,-0.0006999999999999,-5.596,,0.0,16.622,,4.81,,-26.97,,2.5158,,-4.3744,51
2011-11-24 05:00:00,,0.0,,-7.155,,118.88,,7.7579,,14.055,,15.172,0.0,0.1567,,-0.0001,,-0.0011999999999999,-7.155,,0.0,16.528,,4.346,,-26.97,,2.0789,,-4.0069,51
2011-11-24 05:15:00,,0.0,,-6.4317,,118.71,,7.2663,,14.057,,15.108,0.0002,0.1595999999999999,,-0.0001,,-0.0015,-6.4317,,0.0,16.372,,4.2594,,-26.97,,1.3204,,-4.5858,51
