measured_on,ac_current__633,ac_current__779,ac_power__629,ac_power__773,ac_voltage__632,ac_volts__778,ambient_temp__634,ambient_temp__780,das_battery_voltage__790,das_temp__662,das_temperature__785,dc_current__631,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power__628,dc_power__772,dc_voltage__630,inv_temp__661,inveter_temp__784,module10nw_temp__640,module1sw_temp__659,module3_temp__639,module5se_temp__660,module6ne_temp__641,module8_temp_bot__637,module8_temp_mid__636,module8_temp_top__635,module_current_10__651,module_current_1__642,module_current_2__643,module_current_3__644,module_current_4__645,module_current_5__646,module_current_6__647,module_current_7__648,module_current_8__649,module_current_9__650,module_temp_1__781,module_temp_2__782,module_temp_3__783,photodiode_1__652,photodiode_2__653,photodiode_3__654,photodiode_4__655,photodiode_5__656,photodiode_6__657,poa_irradiance_1__627,poa_irradiance_2__658,poa_irradiance__771,reflector_temp_1__638,system_id
2012-05-06 00:00:00,,0.0,,-4.8403,,120.12,,11.263,13.898,,20.223,,0.0001,0.5396999999999998,-0.0001,-0.0019,-4.8403,,0.0001,,,21.252,,,,,,,,,,,,,,,,,,,10.894,-26.97,9.4686,,,,,,,,,-1.1518,,51
2012-05-06 00:15:00,,0.0,,-6.9712,,119.98,,10.979,13.907,,19.941,,0.0002999999999999,0.635,-0.0001,-0.0022,-6.9712,,0.0002,,,21.008,,,,,,,,,,,,,,,,,,,10.897,-26.97,9.0135,,,,,,,,,-1.7009,,51
2012-05-06 00:30:00,,0.0,,-7.4513,,120.08,,10.607,13.914,,19.679,,0.0002999999999999,0.7902,0.0,-0.0004,-7.4513,,0.0002,,,20.857,,,,,,,,,,,,,,,,,,,8.988699999999998,-26.97,8.0463,,,,,,,,,-2.2186,,51
2012-05-06 00:45:00,,0.0,,-3.7159,,119.86,,10.54,13.923,,19.439,,0.0002999999999999,0.6915,-0.0001,-0.0012999999999999,-3.7159,,0.0002,,,20.572,,,,,,,,,,,,,,,,,,,10.898,-26.97,8.3868,,,,,,,,,-1.353,,51
2012-05-06 01:00:00,,0.0,,-10.324,,119.84,,10.503,13.929,,19.225,,0.0002,0.6023,-0.0001,0.0,-10.324,,0.0001,,,20.316,,,,,,,,,,,,,,,,,,,10.878,-26.97,8.7553,,,,,,,,,-1.033,,51
2012-05-06 01:15:00,,0.0,,-2.3479,,119.86,,10.361,13.934,,19.036,,0.0002,0.5534999999999999,0.0,-0.002,-2.3479,,0.0001,,,19.877,,,,,,,,,,,,,,,,,,,10.667,-26.97,8.5693,,,,,,,,,-1.2532,,51
2012-05-06 01:30:00,,0.0,,0.8072,,119.72,,10.277,13.939,,18.866,,0.0002999999999999,0.5178,-0.0001,0.001,0.8072,,0.0002,,,19.823,,,,,,,,,,,,,,,,,,,9.889,-26.97,8.6645,,,,,,,,,-1.041,,51
2012-05-06 01:45:00,,0.0,,-4.7407,,119.95,,10.207,13.944,,18.712,,0.0001,0.4879999999999999,0.0,-0.0006999999999999,-4.7407,,0.0,,,19.419,,,,,,,,,,,,,,,,,,,10.085,-26.97,8.4937,,,,,,,,,-1.187,,51
2012-05-06 02:00:00,,0.0,,-6.8783,,120.06,,10.179,13.948,,18.584,,0.0001,0.5269,0.0,-0.0011999999999999,-6.8783,,0.0001,,,19.259,,,,,,,,,,,,,,,,,,,9.7187,-26.97,8.6196,,,,,,,,,-1.0624,,51
2012-05-06 02:15:00,,0.0,,-8.5944,,120.09,,9.9631,13.951,,18.466,,0.0002,0.4976999999999999,0.0,-0.0014,-8.5944,,0.0001,,,19.245,,,,,,,,,,,,,,,,,,,8.730299999999998,-26.97,8.4624,,,,,,,,,-1.1208,,51
