measured_on,ac_current__588,ac_current__779,ac_power__584,ac_power__773,ac_voltage__587,ac_volts__778,ambient_temp__1333,ambient_temp__589,ambient_temp__780,biased_mod2_leakage_na__1343,biased_mod2_mvshunt__1342,biased_mod2_voltage__1341,biased_mod3_leakage_na__1346,biased_mod3_mvshunt__1345,biased_mod3_voltage__1344,biased_mod4_leakage_na__1349,biased_mod4_mvshunt__1348,biased_mod4_voltage__1347,biased_mod5_leakage_na__1352,biased_mod5_mvshunt__1351,biased_mod5_voltage__1350,biased_mod6_mvshunt__1354,biased_mod6_voltage__1353,control_module_temp__1329,das_battery_voltage__595,das_battery_voltage__790,das_temp__594,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__586,dc_pos_current__775,dc_pos_voltage__585,dc_pos_voltage__774,dc_power_1__786,dc_power__583,dc_power__772,gh_irradiance__1328,inverter_temp__593,inveter_temp__784,mod1_coulombs__1356,mod2_coulombs__1357,mod3_coulombs__1358,mod4_coulombs__1359,mod5_coulombs__1360,module_temp_1__590,module_temp_1__781,module_temp_2__591,module_temp_2__782,module_temp_3__592,module_temp_3__783,poa_irradiance__582,poa_irradiance__771,power_factor__596,precipitation__4818,relative_humidity__1334,unbiased_leakage_na__1340,unbiased_mppt_current__1336,unbiased_mppt_power__1337,unbiased_mppt_voltage__1335,unbiased_mvshunt__1339,unbiased_temp__1338,wetness_kohms__1330,wind_direction__1332,wind_speed__1331,system_id
2013-02-28 00:00:00,,0.0,,-5.5075,,120.18,,,-3.0517,,,,,,,,,,,,,,,,,14.285,,5.9048,0.0002,0.9533,,0.0,,-0.0032,-5.5075,,0.0002,,,6.9821,,,,,,,-3.6507,,-26.97,,-5.7231,,-2.4936,,,,,,,,,,,,,51
2013-02-28 00:15:00,,0.0,,-10.238,,120.1,,,-3.139,,,,,,,,,,,,,,,,,14.288,,5.866,0.0001,0.8884999999999998,,-0.0001,,-0.002,-10.238,,0.0001,,,6.8232,,,,,,,-3.7993,,-26.97,,-5.8052,,-2.4709,,,,,,,,,,,,,51
2013-02-28 00:30:00,,0.0,,-3.9961,,120.07,,,-2.9728,,,,,,,,,,,,,,,,,14.288,,5.8393,0.0001,0.8921,,0.0,,-0.0041999999999999,-3.9961,,0.0001,,,6.949,,,,,,,-3.4117,,-26.97,,-5.7144,,-2.425,,,,,,,,,,,,,51
2013-02-28 00:45:00,,0.0,,-6.7355,,120.14,,,-2.9358,,,,,,,,,,,,,,,,,14.288,,5.823,0.0001,0.9078,,0.0001,,-0.0048999999999999,-6.7355,,0.0001,,,6.6964,,,,,,,-3.1644,,-26.97,,-5.6625,,-2.4249,,,,,,,,,,,,,51
2013-02-28 01:00:00,,0.0,,-6.4331,,119.98,,,-2.7882,,,,,,,,,,,,,,,,,14.288,,5.8062,0.0002,0.9272,,0.0,,-0.0048999999999999,-6.4331,,0.0002,,,6.9768,,,,,,,-2.81,,-26.97,,-5.3543,,-2.238,,,,,,,,,,,,,51
2013-02-28 01:15:00,,0.0,,-10.339,,119.87,,,-3.0741,,,,,,,,,,,,,,,,,14.291,,5.7909,0.0001,0.9212,,0.0,,-0.0035,-10.339,,0.0001,,,6.7054,,,,,,,-3.593,,-26.97,,-5.603,,-2.389,,,,,,,,,,,,,51
2013-02-28 01:30:00,,0.0,,-7.4713,,119.85,,,-2.9965,,,,,,,,,,,,,,,,,14.291,,5.7652,0.0001,0.9303,,0.0,,-0.0035999999999999,-7.4713,,0.0001,,,6.743,,,,,,,-3.4611,,-26.97,,-5.9626,,-2.5377,,,,,,,,,,,,,51
2013-02-28 01:45:00,,0.0,,-6.7511,,119.84,,,-2.762,,,,,,,,,,,,,,,,,14.292,,5.7395,0.0001,0.9038,,0.0,,-0.0044999999999999,-6.7511,,0.0001,,,6.8595,,,,,,,-3.1562,,-26.97,,-5.79,,-2.5161,,,,,,,,,,,,,51
2013-02-28 02:00:00,,0.0,,-12.057,,119.93,,,-2.999,,,,,,,,,,,,,,,,,14.293,,5.7301,0.0001,0.8998,,-0.0002,,-0.0016,-12.057,,0.0001,,,6.7063,,,,,,,-3.3539,,-26.97,,-6.2295,,-2.8777,,,,,,,,,,,,,51
2013-02-28 02:15:00,,0.0,,-7.1831,,119.87,,,-2.9342,,,,,,,,,,,,,,,,,14.293,,5.7163,0.0001,0.899,,0.0,,-0.0032,-7.1831,,0.0001,,,6.7243,,,,,,,-3.1644,,-26.957,,-5.9517,,-2.4857,,,,,,,,,,,,,51
2013-02-28 02:30:00,,0.0,,-7.541,,119.74,,,-2.2778,,,,,,,,,,,,,,,,,14.293,,5.7167,0.0,0.8848,,-0.0002,,0.0004,-7.541,,0.0,,,6.7568,,,,,,,-2.3566,,-26.97,,-5.269,,-2.4824,,,,,,,,,,,,,51
2013-02-28 02:45:00,,0.0,,-6.0956,,119.58,,,-2.3116,,,,,,,,,,,,,,,,,14.293,,5.7527,-0.0001,0.8665,,-0.0002,,0.0002999999999999,-6.0956,,-0.0001,,,6.8028,,,,,,,-2.373,,-26.97,,-5.3329,,-2.7111,,,,,,,,,,,,,51
2013-02-28 03:00:00,,0.0,,-10.007,,119.68,,,-2.3708,,,,,,,,,,,,,,,,,14.292,,5.7927,0.0001,0.8470999999999999,,0.0,,-0.0025,-10.007,,0.0001,,,6.7059,,,,,,,-2.3567,,-26.97,,-5.3857,,-2.7201,,,,,,,,,,,,,51
2013-02-28 03:15:00,,0.0,,-6.4148,,119.55,,,-2.5008,,,,,,,,,,,,,,,,,14.291,,5.8248,0.0,0.8341,,0.0,,-0.0023,-6.4148,,0.0,,,6.812,,,,,,,-2.3897,,-26.97,,-5.5799,,-2.6469,,,,,,,,,,,,,51
2013-02-28 03:30:00,,0.0,,-8.0297,,119.54,,,-2.6144,,,,,,,,,,,,,,,,,14.291,,5.8305,0.0001,0.8196,,0.0,,-0.0023,-8.0297,,0.0001,,,6.8033,,,,,,,-2.7688,,-26.984,,-5.5546,,-2.4239,,,,,,,,,,,,,51
2013-02-28 03:45:00,,0.0,,-5.3922,,119.39,,,-2.7973,,,,,,,,,,,,,,,,,14.291,,5.827,0.0001,0.7919,,-0.0001,,-0.0005999999999999,-5.3922,,0.0,,,6.7263,,,,,,,-3.0161,,-26.97,,-5.9132,,-2.7731,,,,,,,,,,,,,51
2013-02-28 04:00:00,,0.0,,-4.203,,119.4,,,-2.6751,,,,,,,,,,,,,,,,,14.292,,5.8184,0.0001,0.8055999999999999,,-0.0002,,-0.0015,-4.203,,0.0001,,,6.973,,,,,,,-2.4309,,-26.97,,-5.3627,,-2.372,,,,,,,,,,,,,51
2013-02-28 04:15:00,,0.0,,-7.235299999999999,,119.3,,,-2.541,,,,,,,,,,,,,,,,,14.293,,5.802,0.0002,0.7819,,-0.0002999999999999,,-0.0005999999999999,-7.235299999999999,,0.0002,,,6.8955,,,,,,,-2.3732,,-26.97,,-5.0482,,-2.1715,,,,,,,,,,,,,51
2013-02-28 04:30:00,,0.0,,-4.7907,,119.12,,,-2.3355,,,,,,,,,,,,,,,,,14.293,,5.787,-0.0001,0.7540999999999999,,-0.0001,,0.0004,-4.7907,,0.0,,,7.0123,,,,,,,-2.3566,,-26.97,,-4.9265,,-2.3788,,,,,,,,,,,,,51
2013-02-28 04:45:00,,0.0,,-4.6426,,119.26,,,-2.129,,,,,,,,,,,,,,,,,14.293,,5.7997,0.0001,0.8253,,-0.0002999999999999,,0.0001,-4.6426,,0.0,,,7.1918,,,,,,,-2.3567,,-26.97,,-4.785,,-2.5162,,,,,,,,,,,,,51
2013-02-28 05:00:00,,0.0,,-6.822,,119.5,,,-1.9821,,,,,,,,,,,,,,,,,14.291,,5.8452,0.0001,0.7916999999999998,,-0.0002,,-0.0011999999999999,-6.822,,0.0001,,,7.0092,,,,,,,-2.3249,,-26.97,,-4.9393,,-2.6761,,,,,,,,,,,,,51
2013-02-28 05:15:00,,0.0,,-4.2431,,119.46,,,-2.1898,,,,,,,,,,,,,,,,,14.29,,5.8924,0.0,0.7644999999999998,,-0.0002,,-0.0012999999999999,-4.2431,,0.0,,,6.8782,,,,,,,-2.317,,-26.97,,-5.0809,,-2.6537,,,,,,,,,,,,,51
2013-02-28 05:30:00,,0.0,,-4.2045,,119.26,,,-2.2807,,,,,,,,,,,,,,,,,14.289,,5.9251,0.0,0.7567,,-0.0002,,-0.0004,-4.2045,,0.0,,,7.0873,,,,,,,-2.3897,,-26.97,,-5.3011,,-2.9047,,,,,,,,,,,,,51
2013-02-28 05:45:00,,0.0,,-5.068,,118.92,,,-2.1699,,,,,,,,,,,,,,,,,14.29,,5.9572,0.0,0.8238999999999999,,-0.0002,,-0.0006999999999999,-5.068,,0.0,,,6.9702,,,,,,,-2.3567,,-26.97,,-5.4021,,-2.9746,,,,,,,,,,,,,51
