measured_on,ac_current__779,ac_power__773,ac_volts__778,ambient_temp__780,battery_pack_voltage__1363,control_module_voltage__1371,das_battery_voltage__1369,das_battery_voltage__790,das_temp__1368,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power_1__786,dc_power__772,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,interior_temp__1366,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,poa_irradiance__771,program_codeset__1373,resistor_box_3_temp__1370,vcm_above_threshold__1372,system_id
2013-03-12 00:00:00,0.0,-5.449,120.53,-1.7199,,,,14.208,,8.4869,0.0001,0.1870999999999999,0.0,-0.0035,-5.449,0.0,,,,,9.8867,-2.2078,-22.334,-2.5666,-1.4723,,,,51
2013-03-12 00:15:00,0.0,-5.0591,120.58,-1.7056,,,,14.218,,8.3497,0.0001,0.2437,-0.0002,-0.001,-5.0591,0.0,,,,,9.7969,-1.9139,-22.309,-2.5548,-0.5111,,,,51
2013-03-12 00:30:00,0.0,-4.7461,120.61,-1.5341,,,,14.215,,8.2476,0.0001,0.2886,-0.0002,-0.0022,-4.7461,0.0,,,,,9.6017,-1.0642,-22.309,-2.1932,-0.251,,,,51
2013-03-12 00:45:00,0.0,-9.5987,120.77,-1.5659,,,,14.22,,8.1728,0.0001,0.2727999999999999,0.0,-0.0032,-9.5987,0.0,,,,,9.4232,-1.0086,-21.115,-1.9205,-0.2218,,,,51
2013-03-12 01:00:00,0.0,-7.2809,120.76,-1.5471,,,,14.227,,8.0339,0.0,0.2911,0.0,-0.0038999999999999,-7.2809,0.0,,,,,9.1809,-0.945,-18.524,-1.7752,-0.1575999999999999,,,,51
2013-03-12 01:15:00,0.0,-4.9473,120.73,-1.5387,,,,14.228,,7.9132,0.0001,0.2807,0.0,-0.0033,-4.9473,0.0,,,,,9.3214,-0.937,-16.121,-1.6887,-0.0946,,,,51
2013-03-12 01:30:00,0.0,-7.6607,120.77,-1.6065,,,,14.222,,7.881599999999999,0.0001,0.2291,0.0001,-0.0023,-7.6607,0.0,,,,,9.0817,-0.9526,-16.717,-1.6736,-0.0821999999999999,,,,51
2013-03-12 01:45:00,0.0,-6.8545,120.76,-1.6979,,,,14.224,,7.8864,0.0,0.2038,0.0001,-0.0044999999999999,-6.8545,0.0,,,,,9.2209,-1.0163,-18.009,-1.7274,-0.1734,,,,51
2013-03-12 02:00:00,0.0,-5.1508,120.74,-1.6825,,,,14.227,,7.8413,0.0001,0.2189,0.0,-0.0025999999999999,-5.1508,0.0,,,,,9.0386,-0.992,-19.051,-1.7672,-0.2656999999999999,,,,51
2013-03-12 02:15:00,0.0,-4.9967,120.6,-2.0239,,,,14.226,,7.807699999999999,0.0002,0.276,-0.0001,-0.0038999999999999,-4.9967,0.0001,,,,,9.1671,-1.9047,-20.98,-1.9148,-0.0777,,,,51
2013-03-12 02:30:00,0.0,-6.5477,120.67,-2.6033,,,,14.227,,7.7215,0.0001,0.2766,0.0001,-0.0038,-6.5477,0.0,,,,,8.8252,-2.3813,-19.273,-2.3076,0.0224999999999999,,,,51
2013-03-12 02:45:00,0.0,-5.2203,120.62,-2.9677,,,,14.23,,7.5472,0.0001,0.2200999999999999,0.0,-0.0011999999999999,-5.2203,0.0,,,,,8.7516,-2.5119,-19.998,-2.6834,-0.0631,,,,51
2013-03-12 03:00:00,0.0,-1.1871,120.57,-3.1628,,,,14.236,,7.3417,0.0002999999999999,0.2479,0.0,-0.0054,-1.1871,0.0001,,,,,8.7444,-3.6818,-19.904,-2.9828,-0.1486,,,,51
2013-03-12 03:15:00,0.0,-1.9889,120.41,-3.1019,,,,14.241,,7.1921,0.0001,0.3095,0.0,-0.0047999999999999,-1.9889,0.0,,,,,8.5293,-3.1461,-19.565,-3.0641,-0.1058,,,,51
2013-03-12 03:30:00,0.0,-1.1302,120.55,-3.1145,,,,14.247,,7.0821,0.0001,0.2950999999999999,0.0,-0.0032,-1.1302,0.0,,,,,8.2947,-3.2278,-20.114,-3.0862,-0.0912,,,,51
