measured_on,ac_current__779,ac_power__773,ac_volts__778,ambient_temp__780,das_temperature__785,dc_neg_current__777,dc_neg_voltage__776,dc_pos_current__775,dc_pos_voltage__774,dc_power__772,inveter_temp__784,module_temp_1__781,module_temp_2__782,module_temp_3__783,poa_irradiance__771,system_id
2023-02-14 00:00:00,0.0,-8.198299999999998,116.92,3.6024,-8.198299999999998,0.0,0.19763,0.00087,-0.00868,-2e-05,17.577,0.55296,0.93838,0.2175,-2.2599,51
2023-02-14 00:01:00,0.0,16.558,117.06,3.601,16.558,0.0,0.19328,-0.00072,0.00868,0.0,17.354,0.53261,0.9582,0.20077,-2.4117,51
2023-02-14 00:02:00,0.0,-18.083,117.13,3.6128,-18.083,0.0,0.1715599999999999,-0.00029,0.00217,0.0,17.699,0.56515,0.93508,0.2767899999999999,-2.4455,51
2023-02-14 00:03:00,0.0,-17.482,116.85,3.5797,-17.482,0.0,0.15853,0.0001399999999999,-0.00217,0.0,17.991,0.59111,0.98649,0.3252599999999999,-2.3442,51
2023-02-14 00:04:00,0.0,7.4593,117.14,3.4821,7.4593,0.0,0.16505,-0.00101,0.00434,0.0,17.762,0.6406699999999999,0.95672,0.35747,-2.2937,51
2023-02-14 00:05:00,0.0,-23.002,116.62,3.4577,-23.002,-0.0001399999999999,0.15853,0.00087,-0.00217,-3e-05,17.762,0.6885,1.0379,0.45344,-2.2768,51
2023-02-14 00:06:00,0.0,14.064,116.69,3.4601,14.064,0.0,0.16288,0.0004299999999999,-0.00651,-1e-05,17.78,0.68239,1.0356,0.46333,-2.2093,51
2023-02-14 00:07:00,0.0,-22.447,116.73,3.4366,-22.447,0.0001399999999999,0.16288,0.0012999999999999,-0.00651,1e-05,17.693,0.64241,0.99374,0.42151,-2.2431,51
2023-02-14 00:08:00,0.0,-6.8126,117.21,3.471,-6.8126,0.0,0.15853,-0.00072,0.01084,-2e-05,17.289,0.67319,1.0442,0.3892499999999999,-2.2599,51
2023-02-14 00:09:00,0.0,-27.967,116.83,3.6054,-27.967,-0.0001399999999999,0.15853,0.0004299999999999,0.00217,-2e-05,17.392,0.74419,1.1455,0.53664,-2.2768,51
